,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,jaolt.csv,mp-rechnungs-und-kundenverwaltung.csv,ardour.csv,kmess.csv,pixel-commandos.csv,xmoto.csv,buddata-ebxml-registry.csv,zxing.csv
ardour.csv,0.74,0.67,0.71,0.46,0.48,0.36,0.44,0.67,0.53,0.6,0.54,0.61,0.47,0.45,0.67,0.46,0.94,0.65,0.36,0.69
buddata-ebxml-registry.csv,0.17,0.13,0.49,0.81,0.0,0.39,0.09,0.21,0.09,0.33,0.17,0.41,0.61,0.17,0.17,0.21,0.09,0.38,0.94,0.24
cornerstone.csv,0.58,0.35,0.47,0.51,0.26,0.3,0.16,0.32,0.02,0.07,0.73,0.2,0.47,0.49,0.54,0.37,0.55,0.29,0.33,0.11
emeraldemu.csv,0.81,0.55,0.72,0.62,0.19,0.16,0.57,0.71,0.4,0.73,0.53,0.64,0.36,0.63,0.63,0.52,0.54,0.48,0.34,0.68
jahshakafx.csv,0.81,0.63,0.75,0.6,0.37,0.19,0.51,0.74,0.54,0.52,0.62,0.62,0.51,0.7,0.62,0.58,0.54,0.57,0.45,0.71
jaolt.csv,0.73,0.64,0.7,0.62,0.53,0.49,0.63,0.69,0.63,0.55,0.43,0.49,0.64,0.49,0.64,0.57,0.69,0.5,0.0,0.65
kmess.csv,0.52,0.65,0.68,0.17,0.21,0.2,0.62,0.61,0.53,0.59,0.46,0.39,0.17,0.35,0.61,0.66,0.75,0.61,0.29,0.54
maya-work-in-progress.csv,0.68,0.65,0.75,0.51,0.61,0.57,0.6,0.68,0.61,0.89,0.49,0.6,0.58,0.56,0.68,0.59,0.6,0.7,0.62,0.6
mia.csv,0.33,0.34,0.31,0.47,0.07,0.26,0.5,0.4,0.46,0.6,0.52,0.6,0.15,0.65,0.13,0.35,0.76,0.43,0.07,0.53
mp-rechnungs-und-kundenverwaltung.csv,0.8,0.66,0.71,0.54,0.17,0.16,0.51,0.55,0.56,0.43,0.49,0.56,0.49,0.58,0.56,0.54,0.54,0.44,0.35,0.48
novembre.csv,0.62,0.68,0.49,0.29,0.12,0.4,0.8,0.53,0.56,0.49,0.51,0.13,0.47,0.63,0.56,0.52,0.76,0.59,0.22,0.48
ns-3.csv,0.48,0.63,0.52,0.61,0.48,0.67,0.41,0.43,0.55,0.64,0.59,0.44,0.62,0.64,0.53,0.44,0.28,0.58,0.66,0.55
nullc.csv,0.59,0.0,0.0,0.05,0.69,0.47,0.69,0.66,0.49,0.33,0.61,0.0,0.47,0.16,0.6,0.63,0.75,0.54,0.49,0.71
open-beos.csv,0.8,0.76,0.74,0.72,0.52,0.44,0.68,0.7,0.67,0.61,0.37,0.6,0.61,0.63,0.71,0.53,0.87,0.56,0.54,0.61
pixel-commandos.csv,0.02,0.53,0.25,0.48,0.22,0.19,0.38,0.19,0.15,0.15,0.07,0.07,0.23,0.24,0.34,0.32,0.99,0.23,0.29,0.27
plee-the-bear.csv,0.79,0.44,0.76,0.05,0.56,0.56,0.62,0.48,0.63,0.71,0.65,0.37,0.63,0.62,0.61,0.57,0.54,0.49,0.56,0.62
reaper-ecad.csv,0.52,0.17,0.38,0.76,0.26,0.04,0.09,0.32,0.1,0.04,0.21,0.13,0.26,0.0,0.38,0.26,0.29,0.17,0.19,0.09
unladen-swallow.csv,0.38,0.51,0.52,0.05,0.24,0.37,0.53,0.52,0.47,0.43,0.4,0.46,0.66,0.56,0.63,0.17,0.52,0.23,0.26,0.29
xmoto.csv,0.68,0.71,0.67,0.2,0.52,0.59,0.52,0.69,0.58,0.65,0.57,0.63,0.53,0.44,0.68,0.63,0.65,0.73,0.62,0.36
zxing.csv,0.59,0.6,0.72,0.49,0.41,0.25,0.55,0.5,0.37,0.26,0.48,0.52,0.59,0.5,0.66,0.49,0.75,0.47,0.36,0.75
