,bl-toolkit.csv,aztec.csv,fm-classic.csv,clamav.csv,kml.csv,auber.csv,lufa-lib.csv,qmmp.csv,xapian.csv,xtreemfs.csv,mplayer-ce.csv
auber.csv,0.42,0.96,0.29,0.92,0.37,0.48,0.55,0.44,0.39,0.42,0.37
aztec.csv,0.75,0.83,0.5,0.44,0.52,0.52,0.55,0.88,0.0,0.43,0.37
bl-toolkit.csv,0.47,0.44,0.64,0.39,0.39,0.43,0.53,0.55,0.42,0.34,0.37
clamav.csv,0.69,0.42,0.29,0.45,0.38,0.38,0.78,0.38,0.37,0.57,0.41
fm-classic.csv,0.83,0.0,0.89,0.0,0.67,0.84,0.97,0.0,0.0,0.98,0.97
kml.csv,0.49,0.43,0.31,0.42,0.45,0.4,0.51,0.42,0.47,0.32,0.37
lufa-lib.csv,0.55,0.88,0.53,0.53,0.51,0.6,0.69,0.64,0.48,0.36,0.79
mplayer-ce.csv,0.5,0.6,0.32,0.83,0.52,0.42,0.79,0.42,0.6,0.35,0.57
qmmp.csv,0.49,0.45,0.49,0.5,0.45,0.41,0.61,0.56,0.75,0.34,0.39
xapian.csv,0.54,0.52,0.3,0.88,0.72,0.48,0.62,0.53,0.73,0.63,0.48
xtreemfs.csv,0.53,0.49,0.86,0.4,0.36,0.42,0.54,0.74,0.53,0.37,0.37
