,foursquared.csv,repositorium.csv,xbg.csv,simplewebservices.csv
foursquared.csv,0.16,1.0,1.0,0.89
repositorium.csv,0.93,0.36,1.05,0.84
simplewebservices.csv,0.72,0.91,0.7,0.49
xbg.csv,1.02,1.0,0.3,0.81
