,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,0.81,0.7,0.81,0.05,0.72,0.64,0.66,0.88,0.86,0.8
ffigo.csv,0.96,0.72,0.57,0.66,0.59,0.41,0.63,1.03,0.04,0.66
foursquared.csv,0.97,0.94,1.0,0.85,0.0,1.0,0.98,1.0,0.93,0.95
gebr.csv,0.83,0.88,0.03,0.78,0.79,0.76,0.79,0.86,0.77,0.61
ildjit.csv,0.03,0.95,0.98,1.0,0.92,0.98,0.96,1.0,1.0,1.0
jfreereport.csv,0.67,0.09,0.94,0.85,0.7,0.92,0.83,1.0,0.81,0.79
kml.csv,0.73,0.77,0.55,0.59,0.64,0.06,0.56,0.7,0.58,0.55
ng4j.csv,0.97,0.85,0.79,0.56,0.41,0.59,0.71,1.0,0.59,0.0
pcsx2.csv,0.83,0.64,0.47,0.62,0.42,0.64,0.01,0.84,0.51,0.83
wxjs.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
