,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,0.16,0.1,0.03,0.0,0.13,0.21,0.08,0.07,0.05,0.03
ffigo.csv,0.59,0.7,0.24,0.43,0.3,0.36,0.56,0.26,0.0,0.53
foursquared.csv,0.01,0.03,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02
gebr.csv,0.82,0.88,0.03,0.78,0.78,0.74,0.78,0.78,0.75,0.58
ildjit.csv,0.0,0.07,0.0,0.0,0.11,0.1,0.03,0.0,0.0,0.02
jfreereport.csv,0.55,0.0,0.71,0.83,0.39,0.38,0.44,0.08,0.32,0.37
kml.csv,0.55,0.76,0.11,0.48,0.63,0.0,0.43,0.32,0.5,0.54
ng4j.csv,0.04,0.1,0.0,0.33,0.28,0.1,0.11,0.09,0.16,0.0
pcsx2.csv,0.34,0.54,0.24,0.37,0.37,0.59,0.0,0.39,0.32,0.22
wxjs.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.05,0.0
