,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,98.5,320.0,97.5,322.0,97.5,97.5,97.5,94.5,395.5,98.5
chaperon.csv,296.0,191.5,96.5,96.5,86.5,91.5,98.5,97.5,99.0,380.0
geotools.csv,98.5,291.5,98.5,471.0,97.5,196.5,197.5,99.0,395.5,395.0
l2j.csv,197.5,193.5,98.5,1000.0,94.5,97.5,98.5,99.0,198.0,197.0
mule.csv,296.0,131.0,97.5,404.5,94.5,97.5,99.0,97.5,98.5,197.0
nunit.csv,193.0,293.0,505.0,96.5,83.5,97.5,98.5,94.5,197.5,660.5
primefaces.csv,197.5,293.0,98.5,96.5,97.5,196.5,198.0,99.0,99.0,197.0
springside.csv,98.5,193.0,423.5,96.5,94.5,97.5,198.0,94.5,196.5,578.0
swtfox.csv,296.0,390.5,98.5,910.5,70.5,85.5,193.0,99.0,280.5,188.0
twostep.csv,197.5,392.0,98.5,96.5,97.5,97.5,198.0,99.0,99.0,296.0
