,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,0.63,0.98,0.91,0.78,0.14,0.37,0.61,0.79,0.78,0.62
chaperon.csv,0.74,0.75,0.8,0.08,1.0,0.65,0.77,0.88,0.5,0.6
geotools.csv,0.61,0.5,0.81,0.9,1.0,0.69,0.5,0.69,0.71,0.71
l2j.csv,0.7,0.79,0.76,0.58,0.77,0.38,0.7,0.97,0.42,0.57
mule.csv,0.5,0.94,0.82,0.54,0.58,0.61,0.72,0.71,0.81,0.41
nunit.csv,0.65,0.48,0.96,0.78,0.71,0.71,0.62,0.71,0.71,0.35
primefaces.csv,0.91,0.77,1.0,0.63,0.64,1.0,0.66,0.27,0.63,0.71
springside.csv,0.56,0.3,0.82,0.75,0.5,0.35,0.62,0.77,0.6,0.43
swtfox.csv,0.76,0.84,0.39,0.94,1.02,0.89,0.86,1.0,0.68,0.79
twostep.csv,0.74,0.76,0.7,0.79,0.41,0.24,0.7,0.73,0.69,0.79
