,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,0.74,0.2,0.28,0.09,1.0,0.59,0.36,0.54,0.69,0.25
chaperon.csv,0.62,0.39,0.32,0.5,0.86,0.53,0.34,0.71,0.85,0.28
geotools.csv,0.68,0.55,0.38,0.04,0.93,0.44,0.42,0.65,0.79,0.22
l2j.csv,0.66,0.29,0.38,0.11,0.94,0.71,0.29,0.59,0.85,0.28
mule.csv,0.73,0.6,0.35,0.17,0.96,0.55,0.29,0.6,0.88,0.37
nunit.csv,0.74,0.52,0.2,0.08,1.0,0.41,0.36,0.62,0.75,0.45
primefaces.csv,0.61,0.36,0.38,0.1,0.94,0.35,0.32,0.85,0.77,0.22
springside.csv,0.7,0.63,0.31,0.08,0.97,0.66,0.35,0.61,0.87,0.43
swtfox.csv,0.57,0.32,0.64,0.05,0.75,0.38,0.2,0.57,0.81,0.18
twostep.csv,0.65,0.39,0.39,0.08,0.97,0.73,0.31,0.61,0.73,0.23
