,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,ondex.csv,tigermud.csv,ninject.csv,hydrate.csv,cme.csv
algebsql.csv,0.99,1.0,0.78,0.54,0.9,0.84,0.04,0.41,0.9,0.98,0.71,0.88,1.02,0.77,0.46
cme.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97,0.0
hydrate.csv,0.89,0.87,0.71,1.0,0.7,0.94,0.84,0.79,0.61,0.83,0.66,0.76,0.65,0.05,0.56
ivef-sdk.csv,0.61,0.48,0.71,0.65,0.74,0.0,0.98,1.0,0.76,0.77,0.67,0.93,1.0,0.97,0.61
jmri.csv,0.67,0.77,0.02,0.88,0.67,0.67,0.87,0.46,0.66,0.84,0.82,0.9,0.67,0.82,0.46
jython.csv,0.55,0.6,0.5,0.8,0.8,0.83,0.87,0.0,0.89,0.84,0.65,0.79,0.87,0.66,0.9
kdenlive.csv,0.01,0.51,0.66,1.05,0.79,0.38,0.89,0.99,0.54,0.85,0.66,0.88,0.69,0.68,0.63
ninject.csv,1.0,1.0,0.68,1.0,1.0,0.97,0.95,0.73,1.0,0.79,0.91,0.94,0.0,0.7,1.02
ondex.csv,0.88,0.72,0.8,0.97,0.63,0.75,1.04,0.23,0.7,0.82,0.0,0.86,0.48,0.63,0.69
opentibia.csv,0.82,0.17,0.78,1.0,0.68,0.37,0.52,1.0,0.76,0.78,0.79,1.0,0.6,0.95,0.61
projectfactory.csv,0.91,0.89,0.87,0.87,0.89,1.0,1.0,0.56,0.8,0.03,0.65,0.81,1.01,0.71,1.02
taverna.csv,0.82,0.83,0.93,0.54,0.0,1.0,0.76,1.16,0.97,0.88,0.92,0.6,0.82,0.79,0.26
tigermud.csv,0.77,0.6,0.83,0.9,0.78,0.18,0.78,0.96,1.0,0.86,0.9,0.07,0.58,0.69,0.85
unbvision.csv,0.64,0.67,0.66,0.97,0.7,0.93,0.83,1.05,0.1,0.74,0.58,1.06,0.81,0.62,1.09
x-ray-mule.csv,0.73,0.69,0.83,0.0,0.71,0.99,0.65,1.0,0.83,0.79,0.82,0.81,1.14,0.98,1.0
