,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,ondex.csv,tigermud.csv,ninject.csv,hydrate.csv,cme.csv
algebsql.csv,0.18,0.19,0.25,0.47,0.11,0.75,0.97,0.59,0.6,0.03,0.36,0.14,0.0,0.27,0.6
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0
hydrate.csv,0.11,0.17,0.34,0.0,0.33,0.06,0.21,0.86,0.43,0.21,0.61,0.26,0.4,1.0,0.8
ivef-sdk.csv,0.76,0.59,0.56,1.0,0.74,1.0,0.24,0.0,0.83,0.72,0.45,0.2,0.4,0.03,0.8
jmri.csv,0.73,0.83,0.98,0.4,0.52,0.96,0.42,0.59,0.57,0.21,0.3,0.6,0.4,0.33,1.0
jython.csv,0.66,0.57,0.68,0.47,0.81,0.99,0.88,1.0,0.83,0.95,0.45,0.8,1.0,0.55,1.0
kdenlive.csv,0.99,0.7,0.53,0.27,0.33,0.82,0.18,0.82,0.8,0.87,0.7,0.23,0.4,0.64,1.0
ninject.csv,0.0,0.0,0.4,0.0,0.0,0.03,0.06,0.27,0.0,0.26,0.09,0.06,1.0,0.3,0.0
ondex.csv,0.35,0.41,0.22,0.03,0.48,0.42,0.03,0.86,0.43,0.21,1.0,0.6,0.6,0.45,1.0
opentibia.csv,0.92,1.0,0.48,1.0,0.59,0.66,0.67,0.91,0.87,0.28,0.67,1.0,0.8,0.97,0.8
projectfactory.csv,0.1,0.11,0.14,0.13,0.15,0.0,0.03,0.45,0.2,0.97,0.36,0.29,0.0,0.3,0.0
taverna.csv,0.21,0.17,0.08,0.47,1.0,0.0,0.24,0.14,0.03,0.13,0.09,0.63,0.2,0.21,0.8
tigermud.csv,0.82,0.84,0.8,1.0,0.93,0.88,0.91,0.95,0.77,0.38,0.85,0.94,1.0,0.91,1.0
unbvision.csv,0.44,0.42,0.47,0.23,0.56,0.07,0.39,0.5,0.9,0.82,0.55,0.46,0.6,0.67,0.0
x-ray-mule.csv,0.32,0.33,0.26,1.0,0.48,0.01,0.61,0.0,0.43,0.49,0.21,0.31,0.0,0.03,0.0
