,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,ondex.csv,tigermud.csv,ninject.csv,hydrate.csv,cme.csv
algebsql.csv,0.37,0.7,0.54,0.88,0.27,0.68,0.97,0.59,0.21,0.33,0.18,0.56,0.0,0.64,0.2
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
hydrate.csv,1.0,0.82,0.54,0.0,0.43,1.0,0.41,0.14,0.41,0.44,0.19,0.75,0.12,0.97,0.13
ivef-sdk.csv,0.71,0.94,0.47,0.7,0.35,1.0,0.27,0.0,0.28,0.47,0.19,0.41,0.04,1.0,0.12
jmri.csv,0.68,0.88,1.0,0.48,0.36,0.76,0.38,0.3,0.29,0.42,0.12,0.55,0.11,0.55,0.17
jython.csv,0.73,0.9,0.61,0.54,0.35,0.73,0.49,1.0,0.25,0.51,0.21,0.64,0.09,0.67,0.1
kdenlive.csv,1.0,0.92,0.5,0.35,0.29,0.85,0.33,0.11,0.36,0.49,0.19,0.47,0.1,0.66,0.13
ninject.csv,0.0,0.0,0.54,0.0,0.0,1.0,0.33,0.5,0.0,0.45,0.6,0.67,1.0,0.83,0.0
ondex.csv,0.52,0.87,0.51,1.0,0.41,0.67,0.07,0.41,0.27,0.5,1.0,0.57,0.17,0.71,0.12
opentibia.csv,0.67,0.98,0.43,0.6,0.36,0.92,0.61,0.12,0.29,0.46,0.16,0.62,0.11,0.64,0.12
projectfactory.csv,0.54,1.0,0.45,0.8,0.24,0.0,0.1,0.37,0.46,1.0,0.39,0.56,0.0,0.77,0.0
taverna.csv,0.62,1.0,0.42,0.88,1.0,0.0,0.73,0.03,0.14,0.56,0.13,0.69,0.09,0.78,0.31
tigermud.csv,0.67,0.91,0.47,0.62,0.38,0.94,0.53,0.13,0.22,0.37,0.16,0.97,0.14,0.7,0.1
unbvision.csv,0.72,0.9,0.51,0.37,0.34,0.62,0.39,0.07,1.0,0.51,0.23,0.46,0.07,0.69,0.0
x-ray-mule.csv,0.68,0.93,0.38,1.0,0.33,1.0,0.53,0.0,0.2,0.42,0.16,0.55,0.0,0.25,0.0
