,bscwweasel.csv,japano.csv,log4net.csv,botsnscouts.csv,unbvision.csv,personalaccess.csv,joustsim.csv,fido.csv,rcp-company-uibindings.csv,cme.csv
botsnscouts.csv,0.61,0.78,0.75,0.37,0.59,0.58,0.5,0.78,0.59,0.52
bscwweasel.csv,0.44,0.95,0.4,0.79,0.8,0.62,0.84,1.0,0.31,0.84
cme.csv,0.95,0.99,1.0,1.0,1.0,0.95,1.0,1.0,0.98,0.02
fido.csv,0.86,0.84,1.0,1.0,1.0,0.73,0.82,0.13,1.0,1.0
japano.csv,0.99,0.27,0.85,0.9,1.02,0.86,0.7,1.0,0.93,1.07
joustsim.csv,0.65,0.69,0.92,0.67,0.75,0.69,0.27,0.56,0.79,0.57
log4net.csv,0.74,0.81,0.12,0.74,0.97,0.69,0.39,1.01,0.73,0.83
personalaccess.csv,0.68,0.73,0.28,0.57,0.66,0.38,0.47,0.66,0.67,0.4
rcp-company-uibindings.csv,0.55,0.79,0.53,0.6,0.77,0.63,0.53,0.54,0.15,0.46
unbvision.csv,0.58,0.78,0.57,0.51,0.33,0.59,0.38,0.8,0.61,0.92
