,bscwweasel.csv,japano.csv,log4net.csv,botsnscouts.csv,unbvision.csv,personalaccess.csv,joustsim.csv,fido.csv,rcp-company-uibindings.csv,cme.csv
botsnscouts.csv,0.42,0.67,0.34,0.22,0.46,0.56,0.47,0.78,0.2,0.52
bscwweasel.csv,0.18,0.11,0.22,0.15,0.62,0.32,0.18,0.02,0.2,0.25
cme.csv,0.03,0.11,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02
fido.csv,0.32,0.0,0.01,0.04,0.0,0.16,0.05,0.13,0.0,0.0
japano.csv,0.82,0.11,0.79,0.85,0.99,0.76,0.53,1.0,0.9,0.38
joustsim.csv,0.58,0.56,0.63,0.22,0.64,0.44,0.2,0.5,0.0,0.54
log4net.csv,0.25,0.0,0.12,0.22,0.06,0.12,0.28,0.13,0.5,0.23
personalaccess.csv,0.2,0.56,0.28,0.15,0.34,0.32,0.13,0.61,0.1,0.35
rcp-company-uibindings.csv,0.23,0.22,0.41,0.11,0.73,0.28,0.27,0.2,0.0,0.46
unbvision.csv,0.19,0.56,0.47,0.26,0.26,0.36,0.33,0.29,0.5,0.92
