,bscwweasel.csv,japano.csv,log4net.csv,botsnscouts.csv,unbvision.csv,personalaccess.csv,joustsim.csv,fido.csv,rcp-company-uibindings.csv,cme.csv
botsnscouts.csv,0.24,0.72,0.04,0.73,0.43,0.87,0.38,0.09,0.61,0.27
bscwweasel.csv,0.42,0.11,0.12,0.32,0.31,0.61,0.17,0.0,0.86,0.11
cme.csv,0.08,0.03,0.0,0.0,0.0,0.09,0.0,0.0,0.05,0.91
fido.csv,0.12,0.28,0.0,0.0,0.0,0.43,0.25,0.38,0.0,0.0
japano.csv,0.12,0.85,0.04,0.55,0.32,0.69,0.24,0.07,0.86,0.0
joustsim.csv,0.24,0.73,0.02,0.47,0.35,0.6,0.56,0.1,0.34,0.22
log4net.csv,0.19,0.32,0.27,0.39,0.06,0.48,0.44,0.0,0.63,0.11
personalaccess.csv,0.25,0.67,0.14,0.56,0.36,0.85,0.48,0.09,0.5,0.3
rcp-company-uibindings.csv,0.32,0.38,0.07,0.54,0.4,0.59,0.36,0.15,0.92,0.29
unbvision.csv,0.32,0.61,0.06,0.61,0.63,0.66,0.45,0.06,0.78,0.17
