,bscwweasel.csv,japano.csv,log4net.csv,botsnscouts.csv,unbvision.csv,personalaccess.csv,joustsim.csv,fido.csv,rcp-company-uibindings.csv,cme.csv
botsnscouts.csv,0.47,0.35,0.44,0.44,0.41,0.35,0.41,0.35,0.4,0.38
bscwweasel.csv,0.7,0.88,0.65,0.8,0.72,0.46,0.69,0.5,0.47,0.64
cme.csv,0.8,0.67,0.5,0.0,0.0,0.83,0.0,0.0,0.83,0.83
fido.csv,0.69,0.9,0.0,0.0,0.0,0.79,0.8,0.94,0.0,0.0
japano.csv,0.53,0.54,0.55,0.4,0.51,0.53,0.61,0.32,0.49,0.8
joustsim.csv,0.65,0.61,0.56,0.62,0.49,0.55,0.57,0.42,0.74,0.38
log4net.csv,0.67,0.71,0.95,0.64,0.83,0.6,0.36,0.92,0.47,0.92
personalaccess.csv,0.63,0.35,0.47,0.5,0.55,0.35,0.57,0.39,0.5,0.36
rcp-company-uibindings.csv,0.6,0.53,0.45,0.57,0.47,0.44,0.5,0.7,0.43,0.38
unbvision.csv,0.61,0.39,0.43,0.45,0.52,0.38,0.34,0.61,0.36,0.38
