,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv
algebsql.csv,0.41,0.54,0.5,0.53,0.78,0.82,0.85,1.0,0.53,0.1,0.88,0.04,0.11
ivef-sdk.csv,0.75,0.49,0.63,1.0,0.52,1.0,0.24,0.05,0.87,0.79,0.0,0.51,0.11
jmri.csv,0.41,0.27,0.67,0.17,0.11,0.57,0.48,0.55,0.5,0.46,0.5,0.35,0.14
jython.csv,0.94,0.66,0.43,1.0,0.74,1.0,1.0,0.86,0.8,0.28,1.0,0.33,0.4
kdenlive.csv,0.77,0.63,0.51,0.43,0.67,0.49,0.33,0.95,1.0,0.44,1.0,0.61,0.54
opentibia.csv,0.31,0.8,0.39,0.27,0.44,0.01,0.91,0.36,0.03,0.05,0.5,0.26,0.89
projectfactory.csv,0.32,0.36,0.53,0.07,0.67,0.06,0.76,1.0,0.57,0.56,0.88,0.35,0.54
runuomondains.csv,0.39,0.3,0.63,0.17,0.22,0.13,0.52,0.68,0.5,0.51,0.88,0.32,0.17
somap.csv,0.92,0.92,0.73,0.97,1.0,0.6,0.85,0.95,1.0,0.74,0.88,0.83,1.0
taverna.csv,0.2,0.17,0.12,0.17,0.74,0.09,0.76,0.05,0.2,0.59,0.0,0.04,0.03
tigermud.csv,0.34,0.27,0.72,0.0,0.52,0.0,0.09,0.45,0.07,0.1,0.5,0.42,0.69
unbvision.csv,0.66,0.42,0.43,0.3,0.33,1.0,0.42,0.82,0.87,0.33,0.88,0.15,0.29
x-ray-mule.csv,0.38,0.45,0.43,0.83,0.85,0.01,0.67,0.09,0.77,0.79,0.0,0.57,0.69
