,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv,haphazard.csv,galaxium.csv,bzbyte.csv,v8.csv
bochs.csv,0.93,0.57,0.63,0.54,0.74,0.54,0.8,0.75,0.66
bzbyte.csv,0.0,0.0,0.69,0.0,0.0,1.0,0.71,0.77,0.0
encog-java.csv,0.7,0.11,0.03,0.2,0.28,0.23,0.11,0.09,0.03
galaxium.csv,0.82,0.75,0.51,0.69,0.34,0.77,0.77,0.56,0.48
h2database.csv,0.64,0.74,0.14,0.69,0.24,0.31,0.34,0.35,0.19
haphazard.csv,0.16,0.13,0.51,0.54,0.25,0.54,0.23,0.49,0.22
jaql.csv,0.8,0.47,0.4,0.67,0.47,0.46,0.54,0.49,0.39
raven-monitoring.csv,0.36,0.42,0.66,0.37,0.06,0.77,0.51,0.28,0.23
v8.csv,0.11,0.49,0.83,0.62,0.9,0.54,0.71,0.25,0.83
