,gtad.csv,projectts.csv,scen-connect.csv,wxlua.csv,ipfire-wall.csv,cubefs.csv,mumble.csv,irplus.csv,powerfolder.csv,smartgwt.csv,ondex.csv,fleet-simulator.csv,hibernate.csv,geogebra.csv,quantlib.csv,tweetsharp.csv
cubefs.csv,0.36,0.47,0.37,0.95,0.86,0.48,0.81,0.57,0.37,0.31,0.49,0.31,0.43,0.49,0.94,0.77
fleet-simulator.csv,0.35,0.43,0.56,0.5,0.36,0.47,0.39,0.35,0.35,0.57,0.31,0.3,0.41,0.41,0.35,0.39
geogebra.csv,0.43,0.48,0.88,0.82,0.4,0.83,0.45,0.45,0.53,0.88,0.48,0.55,0.56,0.47,0.94,0.42
gtad.csv,0.67,0.86,0.48,0.86,0.41,0.47,0.52,0.58,0.66,0.74,0.95,0.69,0.58,0.94,0.88,0.36
hibernate.csv,0.47,0.82,0.5,0.61,0.48,0.42,0.53,0.69,0.49,0.56,0.33,0.8,0.58,0.51,0.6,0.41
ipfire-wall.csv,0.88,0.67,0.8,0.81,0.44,0.89,0.55,0.81,0.7,0.48,0.93,0.67,0.99,0.6,0.8,0.53
irplus.csv,0.33,0.5,0.5,0.36,0.37,0.42,0.39,0.43,0.49,0.35,0.49,0.48,0.61,0.44,0.57,0.3
mumble.csv,0.91,0.45,0.43,0.77,0.0,0.93,0.47,0.42,0.43,0.56,0.4,0.3,0.58,0.54,0.35,0.65
ondex.csv,0.6,0.0,0.55,0.75,0.43,0.63,0.5,0.78,0.4,0.89,0.67,0.75,0.68,0.8,0.93,0.48
powerfolder.csv,0.52,0.47,0.88,0.59,0.4,0.46,0.43,0.6,0.94,0.77,0.96,0.52,0.6,0.66,0.44,0.35
projectts.csv,0.58,0.69,0.38,0.94,0.43,0.76,0.47,0.42,0.62,0.49,0.44,0.52,0.55,0.52,0.63,0.34
quantlib.csv,0.48,0.0,0.0,0.53,0.0,0.56,0.0,0.93,0.83,0.56,0.31,0.92,0.43,0.39,0.62,0.0
smartgwt.csv,0.37,0.38,0.82,0.39,0.37,0.43,0.4,0.86,0.77,0.39,0.41,0.89,0.71,0.58,0.47,0.38
tweetsharp.csv,0.81,0.63,0.38,0.93,0.61,0.47,0.52,0.65,0.46,0.99,0.54,0.92,0.62,0.75,0.72,0.53
wxlua.csv,0.38,0.43,0.65,0.54,0.37,0.51,0.46,0.88,0.76,0.37,0.7,0.93,0.75,0.73,0.5,0.44
