,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv,natpad.csv
ikvm.csv,0.62,0.77,0.03,0.23,0.69,0.82,0.51,0.15,0.15,0.72,0.31
libtorrent.csv,0.73,0.41,0.06,0.31,0.75,0.92,0.55,0.15,0.23,0.86,0.4
mcmc-jags.csv,0.7,0.41,0.05,0.63,0.76,0.86,0.61,0.25,0.17,0.87,0.51
natpad.csv,0.72,0.5,0.05,0.3,0.8,0.89,0.64,0.21,0.25,0.9,0.61
nebuladevice.csv,0.73,0.19,0.0,0.25,0.83,0.87,0.47,0.1,0.35,0.91,0.0
olap-navigator.csv,0.98,0.47,0.09,0.5,0.83,1.0,0.64,0.24,0.33,0.93,0.71
pidgin.csv,0.81,0.41,0.05,0.62,0.86,0.87,0.64,0.15,0.23,0.93,0.58
salasaga.csv,0.68,0.44,0.05,0.32,0.83,0.86,0.65,0.28,0.17,0.9,0.59
sepgsql.csv,0.97,0.48,0.12,0.5,0.87,1.0,0.63,0.23,0.25,0.97,0.61
xstore.csv,0.68,0.4,0.05,0.7,0.75,0.93,0.7,0.22,0.23,0.91,0.42
xtreemfs.csv,0.84,0.46,0.05,0.33,0.73,0.89,0.59,0.19,0.12,0.95,0.47
