,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,gogoego.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,snakeyaml.csv,impala.csv,dataobjectsdotnet.csv,loki-lib.csv,gnome-jabber.csv,chaosrts.csv,exl.csv
avifile.csv,0.16,0.95,0.1,0.0,0.53,0.23,0.45,0.63,0.27,0.09,0.54,0.66,0.28,0.49,0.09,0.0,0.59,0.24
baadengine.csv,0.75,0.4,0.25,0.7,0.39,0.0,0.57,0.74,0.65,0.09,0.27,0.76,0.34,0.49,0.09,0.0,0.66,0.71
bibedt.csv,0.42,0.42,0.21,0.82,0.54,0.68,0.52,0.24,0.27,0.36,0.73,0.73,0.27,0.47,0.59,0.68,0.41,0.75
chaosrts.csv,0.34,0.23,0.38,0.89,0.67,0.0,0.53,0.72,0.09,0.85,0.46,0.41,0.48,0.42,0.59,0.0,0.79,0.78
dataobjectsdotnet.csv,0.42,0.3,0.0,0.84,0.42,0.49,0.64,0.17,0.65,0.0,0.66,0.43,0.55,0.65,0.37,0.0,0.56,0.0
exl.csv,0.46,0.54,0.54,0.61,0.56,0.6,0.58,0.49,0.59,0.0,0.59,0.49,0.56,0.55,0.25,0.09,0.46,0.82
gnome-jabber.csv,0.44,0.23,0.34,0.0,0.22,0.55,0.56,0.49,0.5,0.57,0.39,0.6,0.39,0.45,0.58,0.64,0.69,0.67
gogoego.csv,0.49,0.23,0.0,0.87,0.09,0.66,0.55,0.69,0.48,0.0,0.52,0.57,0.44,0.43,0.12,0.52,0.21,0.61
httpcontentparser.csv,0.27,0.23,0.36,0.0,0.05,0.16,0.54,0.32,0.75,0.43,0.52,0.54,0.46,0.42,0.41,0.11,0.27,0.37
impala.csv,0.1,0.71,0.12,0.9,0.62,0.27,0.36,0.09,0.59,0.0,0.6,0.09,0.59,0.27,0.35,0.42,0.44,0.41
jaxlib.csv,0.32,0.23,0.29,0.0,0.6,0.52,0.59,0.54,0.64,1.0,0.54,0.13,0.39,0.47,0.49,0.09,0.64,0.79
jgameai.csv,0.0,0.71,0.04,0.0,0.66,0.0,0.27,0.24,0.33,0.54,0.0,0.09,0.51,0.12,0.0,0.47,0.22,0.09
loki-lib.csv,0.47,0.43,0.39,0.61,0.7,0.24,0.45,0.73,0.55,0.48,0.33,0.13,0.59,0.34,0.65,0.0,0.67,0.26
patterntesting.csv,0.21,0.13,0.0,0.17,0.24,0.59,0.09,0.7,0.09,0.17,0.2,0.13,0.46,0.44,0.43,0.54,0.21,0.0
snakeyaml.csv,0.35,0.0,0.34,0.89,0.39,0.59,0.53,0.6,0.7,0.81,0.34,0.7,0.23,0.41,0.12,0.29,0.29,0.67
werx.csv,0.05,0.41,0.97,0.0,0.09,0.0,0.24,0.0,0.05,0.0,0.0,0.05,0.17,0.0,0.0,0.0,0.0,0.5
zealos.csv,0.07,0.24,0.11,0.0,0.23,0.75,0.13,0.35,0.0,0.0,0.0,0.0,0.05,0.06,0.09,0.01,0.46,0.0
