,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,sigil.csv,img-browse-sort.csv,doomlegacy.csv,illumination.csv,pi-qmc.csv,bibletime.csv
bibletime.csv,0.49,0.13,0.57,0.69,0.46,0.61,0.67,0.71,0.66,0.28,0.58,0.25,0.67,0.44,0.72,0.39,0.43,0.81
decidr.csv,0.46,0.13,0.56,0.69,0.39,0.5,0.77,0.7,0.65,0.43,0.64,0.22,0.72,0.39,0.79,0.31,0.45,0.9
doomlegacy.csv,0.69,0.0,0.55,0.43,0.54,0.59,0.71,0.47,0.44,0.41,0.63,0.27,0.75,0.43,0.8,0.27,0.44,0.79
elmo.csv,0.45,0.18,0.22,0.36,0.31,0.21,0.55,0.46,0.46,0.43,0.14,0.22,0.44,0.43,0.55,0.35,0.61,0.42
gpac.csv,0.39,0.14,0.53,0.65,0.22,0.41,0.68,0.71,0.65,0.38,0.49,0.2,0.74,0.37,0.21,0.27,0.41,0.33
illumination.csv,0.0,0.11,0.12,0.53,0.0,0.49,0.04,0.0,0.0,0.32,0.52,0.11,0.74,0.42,0.0,0.7,0.44,0.86
img-browse-sort.csv,0.7,0.13,0.58,0.72,0.58,0.57,0.67,0.59,0.49,0.4,0.68,0.28,0.84,0.65,0.42,0.32,0.29,0.78
ktc.csv,0.72,0.16,0.62,0.19,0.59,0.46,0.57,0.52,0.51,0.36,0.32,0.3,0.73,0.44,0.67,0.27,0.67,0.69
neoengine.csv,0.51,0.14,0.61,0.67,0.42,0.53,0.68,0.73,0.67,0.49,0.28,0.27,0.7,0.51,0.69,0.31,0.64,0.71
nicepress.csv,0.6,0.16,0.56,0.54,0.56,0.7,0.72,0.67,0.65,0.31,0.6,0.35,0.73,0.34,0.55,0.38,0.46,0.75
omseek.csv,0.39,0.0,0.23,0.0,0.35,0.05,0.3,0.07,0.18,0.26,0.22,0.4,0.69,0.38,0.14,0.24,0.43,0.4
pi-qmc.csv,0.43,0.11,0.56,0.7,0.38,0.48,0.57,0.67,0.64,0.32,0.51,0.2,0.6,0.4,0.68,0.34,0.68,0.62
rosegarden.csv,0.68,0.14,0.58,0.45,0.64,0.53,0.62,0.58,0.47,0.35,0.45,0.25,0.77,0.46,0.82,0.25,0.43,0.78
sigil.csv,0.7,0.15,0.56,0.65,0.52,0.42,0.6,0.33,0.22,0.47,0.65,0.3,0.86,0.48,0.46,0.2,0.46,0.73
smarttag.csv,0.64,0.15,0.57,0.61,0.5,0.54,0.55,0.59,0.55,0.47,0.57,0.22,0.59,0.4,0.83,0.41,0.6,0.75
sylpheed-claws.csv,0.61,0.13,0.55,0.73,0.45,0.51,0.73,0.66,0.68,0.44,0.63,0.2,0.76,0.4,0.85,0.35,0.43,0.91
xemeiah.csv,0.61,0.14,0.56,0.43,0.52,0.56,0.72,0.69,0.66,0.39,0.76,0.24,0.73,0.44,0.54,0.0,0.58,0.69
zscreen.csv,0.66,0.13,0.59,0.83,0.53,0.56,0.67,0.31,0.27,0.34,0.62,0.3,0.8,0.38,0.64,0.3,0.39,0.87
