,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,elynx.csv,xcmetadataservicestoolkit.csv,olex2.csv
crisscross.csv,0.97,1.0,0.36,0.89,1.0,0.8,0.74,0.94,0.98,1.02,0.97
cubefs.csv,0.89,1.0,0.96,0.66,1.1,0.62,0.65,0.58,1.0,0.57,0.99
iaml.csv,0.57,0.7,0.55,0.74,0.52,0.74,0.45,0.7,1.12,0.83,0.65
ivataopenportal.csv,0.62,0.98,0.72,0.86,0.7,0.41,0.85,1.0,1.14,0.82,1.0
mb-unit.csv,1.0,0.85,0.83,0.57,1.0,1.0,0.81,0.73,0.95,0.87,0.81
mvdsv.csv,0.97,0.82,1.0,0.94,0.03,0.99,0.93,0.94,1.0,0.82,0.92
nova.csv,0.68,0.32,0.72,0.67,1.22,0.74,0.6,0.63,0.76,0.74,0.76
olex2.csv,0.97,0.58,0.59,0.72,0.61,0.99,0.58,0.63,1.1,0.64,0.36
openwbem.csv,0.49,0.77,0.59,0.62,0.45,0.75,0.73,0.61,0.37,0.66,0.57
xcmetadataservicestoolkit.csv,0.81,0.85,0.82,0.65,1.19,0.88,0.75,0.83,0.71,0.45,0.63
