,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,elynx.csv,xcmetadataservicestoolkit.csv,olex2.csv
crisscross.csv,0.48,0.42,0.2,0.4,0.38,0.36,0.27,0.4,0.35,0.31,0.34
cubefs.csv,0.36,0.42,0.42,0.2,0.35,0.24,0.3,0.29,0.35,0.2,0.34
iaml.csv,0.21,0.19,0.29,0.2,0.22,0.15,0.29,0.17,0.23,0.25,0.27
ivataopenportal.csv,0.28,0.42,0.35,0.37,0.25,0.29,0.32,0.41,0.23,0.27,0.34
mb-unit.csv,0.49,0.42,0.4,0.3,0.38,0.43,0.24,0.31,0.33,0.31,0.33
mvdsv.csv,0.46,0.19,0.45,0.37,0.28,0.41,0.33,0.4,0.3,0.25,0.29
nova.csv,0.36,0.26,0.39,0.26,0.33,0.24,0.24,0.25,0.33,0.2,0.3
olex2.csv,0.47,0.16,0.25,0.35,0.19,0.43,0.29,0.27,0.2,0.27,0.21
openwbem.csv,0.23,0.16,0.15,0.28,0.16,0.31,0.17,0.31,0.18,0.22,0.24
xcmetadataservicestoolkit.csv,0.44,0.42,0.4,0.35,0.35,0.41,0.32,0.41,0.32,0.27,0.22
