,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,xinity.csv,gss.csv,linux-ntfs.csv,growl-for-windows.csv,nativeclient.csv,libarchive.csv
acdk.csv,0.59,0.4,0.18,0.08,0.2,0.4,0.65,0.31,0.02,0.5,0.42,0.31,0.7,0.47,0.48,0.44,0.55,0.27,0.5,0.48
amygdala.csv,0.68,0.07,0.29,0.51,0.38,0.51,0.52,0.24,0.0,0.37,0.24,0.72,0.27,0.66,0.46,0.56,0.53,0.24,0.18,0.0
awemud.csv,0.69,0.73,0.26,0.38,0.77,0.4,0.54,0.24,0.01,0.0,0.24,0.54,0.22,0.75,0.66,0.48,0.56,0.5,0.38,0.44
bullet.csv,0.71,0.63,0.25,0.63,0.52,0.79,0.5,0.21,0.03,0.0,0.16,0.7,0.5,0.29,0.57,0.76,0.4,0.46,0.55,0.55
customwars.csv,0.74,0.58,0.2,0.69,0.64,0.6,0.48,0.17,0.02,0.0,0.25,0.43,0.64,0.57,0.68,0.62,0.5,0.34,0.34,0.54
dvd-create.csv,0.65,0.76,0.3,0.26,0.86,0.77,0.49,0.32,0.01,0.0,0.26,0.7,0.38,0.68,0.62,0.73,0.64,0.74,0.6,0.57
gbif-indexingtoolkit.csv,0.79,0.65,0.26,0.38,0.83,0.5,0.38,0.37,0.0,0.47,0.26,0.49,0.44,0.39,0.5,0.6,0.5,0.7,0.65,0.56
go.csv,0.79,0.78,0.35,0.15,0.67,0.7,0.63,0.25,0.01,0.0,0.26,0.71,0.55,0.75,0.65,0.72,0.61,0.86,0.7,0.64
growl-for-windows.csv,0.79,0.0,0.32,0.0,0.03,0.14,0.54,0.3,0.0,0.0,0.27,0.65,0.0,0.53,0.58,0.56,0.44,0.78,0.0,0.37
gss.csv,0.75,0.76,0.38,0.72,0.82,0.83,0.58,0.27,0.01,0.0,0.28,0.67,0.54,0.69,0.75,0.75,0.59,0.6,0.58,0.62
kwave.csv,0.8,0.78,0.46,0.4,0.89,0.6,0.53,0.32,0.0,0.3,0.27,0.66,0.43,0.77,0.74,0.6,0.58,0.64,0.73,0.59
libarchive.csv,0.81,0.79,0.3,0.3,0.85,0.81,0.59,0.32,0.01,0.39,0.25,0.76,0.57,0.72,0.77,0.68,0.56,0.82,0.61,0.67
linux-ntfs.csv,0.67,0.63,0.39,0.58,0.74,0.74,0.4,0.35,0.02,0.35,0.28,0.55,0.34,0.65,0.59,0.83,0.63,0.52,0.57,0.62
lsb.csv,0.73,0.58,0.23,0.63,0.84,0.74,0.51,0.32,0.01,0.12,0.25,0.63,0.58,0.52,0.48,0.69,0.61,0.7,0.54,0.55
mpgravity.csv,0.84,0.78,0.29,0.38,0.84,0.77,0.51,0.32,0.0,0.64,0.26,0.69,0.0,0.78,0.76,0.75,0.64,0.8,0.71,0.6
nativeclient.csv,0.73,0.68,0.38,0.29,0.64,0.66,0.6,0.24,0.01,0.39,0.29,0.56,0.59,0.72,0.62,0.65,0.67,0.38,0.73,0.64
qcad2.csv,0.45,0.54,0.38,0.21,0.48,0.55,0.65,0.31,0.01,0.42,0.28,0.35,0.57,0.5,0.72,0.63,0.56,0.66,0.72,0.63
qtwin.csv,0.16,0.0,0.0,0.0,0.0,0.08,0.15,0.26,0.05,0.21,0.19,0.14,0.2,0.53,0.43,0.28,0.48,0.1,0.14,0.0
roller.csv,0.8,0.77,0.36,0.39,0.88,0.77,0.52,0.33,0.0,0.35,0.26,0.67,0.45,0.79,0.63,0.73,0.64,0.78,0.73,0.59
xinity.csv,0.44,0.72,0.39,0.25,0.77,0.42,0.34,0.26,0.0,0.27,0.25,0.43,0.41,0.39,0.78,0.68,0.52,0.7,0.69,0.51
