,paintown.csv,smbopensoft.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,bscwweasel.csv,retromenu.csv,capcode.csv,botsnscouts.csv,nodal.csv,st-filteredstatistics.csv,lcfizvtop.csv,avisynth2.csv,powerfolder.csv,bzbyte.csv,mediaportal.csv,emite.csv,duplicati.csv,uface.csv
avisynth2.csv,0.0,0.0,0.0,0.0,1.0,0.3,0.6,0.5,0.25,0.5,1.0,0.5,0.5,0.0,0.93,0.18,0.0,1.0,0.71
botsnscouts.csv,0.67,0.51,0.71,0.73,0.79,0.16,0.32,0.13,0.76,0.28,0.85,0.38,0.09,0.05,0.79,0.25,0.51,1.0,0.91
bscwweasel.csv,0.63,1.0,0.65,0.59,0.8,0.33,0.44,0.2,0.5,0.3,1.0,0.11,0.04,0.22,0.86,0.24,0.35,1.0,0.88
bzbyte.csv,0.33,0.0,0.0,0.52,0.78,0.13,0.32,0.18,0.46,0.27,0.75,0.19,0.05,0.04,0.88,0.0,0.44,0.98,0.66
capcode.csv,0.38,0.5,0.62,0.42,0.77,0.14,0.36,0.31,0.53,0.32,0.78,0.21,0.06,0.03,0.8,0.19,0.38,0.98,0.75
emite.csv,0.57,0.52,0.6,0.58,0.77,0.14,0.33,0.11,0.47,0.4,0.76,0.24,0.11,0.17,0.8,0.22,0.55,1.0,0.83
fbmanager.csv,0.76,0.75,0.82,0.79,0.9,0.3,0.48,0.18,0.71,0.29,0.58,0.17,0.06,0.09,0.85,0.0,0.33,1.0,0.93
lcfizvtop.csv,0.49,0.83,0.68,0.75,0.74,0.18,0.38,0.18,0.61,0.31,0.77,0.36,0.0,0.08,0.83,0.23,0.48,1.0,0.92
mediaportal.csv,0.69,0.62,0.63,1.0,0.92,0.19,0.48,0.26,0.65,0.33,0.88,0.12,0.17,0.12,1.0,0.33,0.6,1.0,0.98
nodal.csv,0.52,1.0,0.78,0.71,0.76,0.21,0.17,0.22,0.75,0.61,0.79,0.43,0.0,0.06,0.88,0.22,0.57,1.0,0.91
paintown.csv,0.77,0.49,0.65,0.62,0.73,0.12,0.31,0.13,0.46,0.21,0.75,0.21,0.05,0.04,0.79,0.21,0.4,0.97,0.66
powerfolder.csv,0.7,0.48,0.78,0.62,0.74,0.14,0.48,0.09,0.73,0.18,0.83,0.32,0.12,0.29,0.79,0.28,0.4,1.0,0.62
retromenu.csv,1.0,0.78,0.6,0.76,0.85,0.18,0.67,0.2,0.75,0.45,0.93,0.36,0.0,0.11,0.76,0.29,0.64,1.0,1.0
smbopensoft.csv,0.45,0.8,0.62,0.53,0.77,0.16,0.35,0.18,0.53,0.34,0.75,0.26,0.05,0.04,0.75,0.19,0.46,0.98,0.89
sqlpower-library.csv,0.47,0.49,0.62,0.54,0.85,0.15,0.44,0.16,0.5,0.29,0.77,0.19,0.05,0.04,0.76,0.19,0.45,0.98,0.79
st-filteredstatistics.csv,0.62,0.47,0.59,0.53,0.7,0.13,0.33,0.16,0.64,0.25,0.94,0.16,0.06,0.04,0.76,0.19,0.43,0.98,0.64
triplea.csv,0.58,0.51,0.79,0.62,0.75,0.14,0.32,0.13,0.54,0.26,0.79,0.27,0.05,0.05,0.78,0.21,0.42,0.98,0.72
uface.csv,0.51,0.49,0.59,0.57,0.79,0.18,0.38,0.17,0.51,0.28,0.76,0.24,0.05,0.05,0.79,0.2,0.49,0.98,0.98
