,f1,g,recall,precision,pf,wins
avisynth2.csv,0.14,0.1,0.08,0.5,0.02,1
botsnscouts.csv,0.61,0.6,0.71,0.51,0.45,17
bscwweasel.csv,0.41,0.47,0.43,0.5,0.29,8
bzbyte.csv,0.42,0.0,0.99,0.32,0.98,0
capcode.csv,0.44,0.55,0.65,0.38,0.62,5
emite.csv,0.33,0.41,0.38,0.52,0.36,3
fbmanager.csv,0.4,0.44,0.4,0.58,0.19,11
lcfizvtop.csv,0.5,0.62,0.67,0.49,0.37,16
mediaportal.csv,0.38,0.44,0.39,0.62,0.15,12
nodal.csv,0.3,0.32,0.28,0.61,0.15,4
paintown.csv,0.6,0.24,0.85,0.46,0.94,2
powerfolder.csv,0.4,0.43,0.39,0.48,0.27,7
retromenu.csv,0.32,0.28,0.24,0.67,0.1,6
smbopensoft.csv,0.56,0.5,0.87,0.46,0.78,10
sqlpower-library.csv,0.62,0.49,0.93,0.47,0.82,13
st-filteredstatistics.csv,0.61,0.45,0.81,0.47,0.79,9
triplea.csv,0.61,0.56,0.88,0.51,0.77,14
uface.csv,0.62,0.58,0.93,0.49,0.76,15
