,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,proftp.csv,echongl.csv,tycho.csv,xpontus.csv,unicase.csv,uclmda.csv
echongl.csv,0.93,0.5,0.49,1.0,0.46,0.75,0.46,0.18,0.0,0.66,0.94,0.5
ivatamasks.csv,0.84,0.0,0.69,0.3,0.9,0.38,0.38,0.97,0.79,0.81,0.71,0.5
orc.csv,0.07,0.0,0.21,0.38,0.2,0.62,0.49,0.0,0.0,0.41,0.19,0.5
plato.csv,0.85,1.0,0.94,0.57,0.8,0.25,1.0,0.34,1.0,0.79,0.93,0.83
proftp.csv,0.04,0.0,0.14,0.62,0.0,0.62,0.19,0.05,0.0,0.26,0.21,0.0
tycho.csv,0.4,1.0,0.13,0.68,0.1,0.12,0.35,0.26,0.29,0.34,0.72,0.33
uclmda.csv,0.04,0.0,0.26,0.0,0.37,0.25,0.24,0.0,0.46,0.08,0.12,0.0
umber.csv,0.11,1.0,0.9,0.62,0.73,1.0,0.84,0.92,0.43,0.8,0.25,0.83
unicase.csv,0.24,1.0,0.79,0.96,0.41,0.75,0.92,0.45,0.5,0.74,0.42,0.83
vienna-add-in.csv,0.65,1.0,0.69,0.7,0.34,0.38,0.03,0.92,0.54,0.44,0.7,0.17
wpdev.csv,0.98,0.0,0.98,1.0,0.98,1.0,1.0,0.92,0.96,0.97,0.99,1.0
