,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,proftp.csv,echongl.csv,tycho.csv,xpontus.csv,unicase.csv,uclmda.csv
echongl.csv,0.26,0.99,0.15,0.66,0.7,0.78,0.57,0.92,0.0,0.0,0.73,0.4
ivatamasks.csv,0.27,1.0,0.08,0.83,0.64,0.81,0.6,0.73,0.58,0.01,0.71,0.98
orc.csv,0.2,1.0,0.33,0.75,0.5,0.84,0.6,0.0,0.0,0.02,0.82,0.4
plato.csv,0.29,0.99,0.08,0.71,0.68,0.95,0.45,0.77,0.56,0.01,0.73,0.97
proftp.csv,0.0,1.0,0.27,0.55,1.0,0.78,0.76,0.95,0.0,0.03,0.84,0.0
tycho.csv,0.12,0.98,0.22,0.64,0.79,0.9,0.32,0.7,0.75,0.0,0.71,0.0
uclmda.csv,0.0,1.0,0.0,0.0,0.63,0.67,0.25,1.0,0.54,0.0,0.42,1.0
umber.csv,0.74,0.98,0.11,0.76,0.61,0.83,0.47,0.72,0.29,0.01,0.83,0.97
unicase.csv,0.55,0.98,0.13,0.68,0.61,0.88,0.47,0.81,0.46,0.01,0.83,0.29
vienna-add-in.csv,0.29,0.98,0.11,0.67,0.81,0.84,0.0,0.72,0.61,0.0,0.63,0.99
wpdev.csv,0.26,1.0,0.1,0.68,0.66,0.84,0.45,0.72,0.56,0.01,0.73,0.96
