,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,customsagetv.csv,xfce.csv,carabiner.csv,mesa3d.csv,trinitycore.csv,tencompetence.csv,oorexx.csv,elvishrayrenderer.csv
carabiner.csv,0.78,0.95,1.0,0.96,0.88,0.78,1.0,0.5,0.79,1.0,0.83,0.5,1.0,0.6,0.2,0.8,0.79,0.42,0.56,0.89
checker-framework.csv,0.72,0.98,0.09,0.87,0.93,0.88,0.71,0.2,0.65,1.0,0.92,0.86,0.64,0.9,1.0,0.91,0.63,0.79,0.76,0.89
customsagetv.csv,0.09,0.03,0.0,0.02,0.26,0.19,0.14,0.25,0.12,0.29,0.0,0.2,0.09,0.04,0.0,0.07,0.11,0.2,0.16,0.17
elvishrayrenderer.csv,0.79,0.22,1.0,1.0,0.42,0.34,0.21,0.34,0.53,0.14,0.42,0.52,0.36,0.71,0.16,0.51,0.53,0.38,0.16,0.33
guineu.csv,0.28,0.27,0.0,0.1,0.2,0.22,0.39,0.05,0.19,0.29,0.08,0.34,0.18,0.0,0.04,0.04,0.15,0.21,0.28,0.22
inkscape.csv,0.66,0.73,0.0,0.73,0.1,0.31,0.75,0.79,0.53,1.0,1.0,0.77,0.8,0.0,1.0,0.0,0.51,0.79,0.8,0.61
mesa3d.csv,0.67,0.26,0.0,0.02,0.31,0.53,0.5,0.23,0.44,0.43,0.0,0.43,0.55,0.39,0.08,0.29,0.43,0.29,0.12,0.61
nsis.csv,0.81,0.83,0.45,0.38,0.84,0.88,0.75,0.71,0.69,0.0,0.5,0.73,0.39,0.35,0.75,0.43,0.7,0.65,0.8,0.67
octave.csv,0.47,0.35,0.0,0.27,0.21,0.09,0.61,0.34,0.34,0.57,0.42,0.25,0.7,0.1,0.45,0.09,0.34,0.2,0.04,0.33
oorexx.csv,0.38,0.19,0.0,0.08,0.49,0.5,0.54,0.45,0.32,0.71,0.33,0.61,0.77,0.27,0.14,0.15,0.3,0.39,0.4,0.56
owfs.csv,0.83,0.83,1.0,0.33,0.74,0.81,0.86,0.59,0.95,0.71,0.75,0.57,0.91,0.87,0.59,0.2,0.91,0.61,0.92,0.67
owlib.csv,0.53,0.3,0.09,0.65,0.43,0.5,0.43,0.25,0.41,0.29,0.08,0.34,0.55,0.32,0.06,0.4,0.4,0.4,0.56,0.56
prelude.csv,0.93,0.99,0.09,0.85,0.91,0.78,0.93,0.75,0.88,1.0,0.5,0.95,0.8,0.65,0.94,0.69,0.8,0.9,0.88,0.72
robocode.csv,0.59,0.33,0.0,0.19,0.46,0.44,0.25,0.64,0.34,0.43,0.25,0.73,0.55,0.27,0.57,0.39,0.34,0.4,0.44,0.5
tencompetence.csv,0.09,0.69,0.18,0.37,0.12,0.25,0.04,0.43,0.08,0.0,0.5,0.07,0.05,0.38,0.41,0.52,0.15,0.29,0.72,0.5
trinitycore.csv,0.24,0.12,0.0,0.04,0.29,0.28,0.43,0.57,0.32,0.29,0.08,0.16,0.09,0.19,0.04,0.19,0.36,0.43,0.4,0.22
uwom-server.csv,0.29,0.38,0.0,0.56,0.45,0.25,0.32,0.52,0.41,0.29,0.42,0.39,0.2,0.32,0.08,0.49,0.4,0.38,0.4,0.44
xfce.csv,0.62,0.53,1.0,0.58,0.49,0.66,0.79,0.18,0.55,0.57,0.5,0.55,0.86,0.43,0.08,0.6,0.44,0.4,0.4,0.61
zengine.csv,1.0,0.99,0.45,0.9,0.95,1.0,1.0,0.91,0.91,0.86,0.0,0.95,0.82,0.62,1.0,0.6,0.91,0.97,0.96,1.0
zildo.csv,0.41,0.71,0.09,0.73,0.26,0.44,0.11,0.29,0.34,0.43,0.17,0.23,0.25,0.38,0.51,0.55,0.33,0.32,0.6,0.72
