,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,continuum-ide.csv,mia.csv,ontopia.csv,runuomondains.csv,somap.csv,fleet-simulator.csv,tigermud.csv,hydrate.csv
algebsql.csv,0.45,0.66,0.51,0.62,0.46,0.76,0.88,0.3,0.12,0.23,0.19,0.08,0.07,0.2,0.65
continuum-ide.csv,0.42,0.39,0.24,0.0,0.17,0.08,0.0,0.65,0.07,0.47,0.23,0.24,0.14,0.2,0.69
fleet-simulator.csv,0.78,0.82,0.63,0.61,0.5,0.82,0.63,0.47,0.15,0.89,0.24,0.84,0.98,0.56,0.77
hydrate.csv,0.12,0.36,0.36,0.0,0.22,0.0,0.0,0.43,0.17,0.26,0.24,0.13,0.54,0.15,0.68
ivef-sdk.csv,0.75,0.73,0.59,0.8,0.45,1.0,0.26,0.33,0.11,0.71,0.0,0.66,0.0,0.2,0.06
jmri.csv,0.48,0.29,0.66,0.12,0.15,0.71,0.54,0.52,0.08,0.26,0.36,0.53,0.07,0.24,0.36
kdenlive.csv,0.77,0.74,0.51,0.53,0.53,0.48,0.61,0.5,0.17,0.53,0.25,0.63,0.91,0.59,0.81
mia.csv,0.15,0.26,0.22,0.21,0.34,0.62,0.0,0.32,0.35,0.4,0.26,0.38,0.6,0.0,0.35
ontopia.csv,0.78,0.92,0.52,0.71,0.24,0.57,0.32,0.28,0.15,0.87,0.13,0.54,0.74,0.47,0.66
opentibia.csv,0.44,0.83,0.45,0.51,0.43,0.08,0.65,0.37,0.05,0.48,0.18,0.36,0.67,0.71,0.71
runuomondains.csv,0.65,0.62,0.62,0.26,0.22,0.19,0.43,0.47,0.26,0.63,0.54,0.53,0.57,0.27,0.53
somap.csv,0.76,0.87,0.57,0.75,0.56,0.58,0.65,0.47,0.16,0.78,0.2,0.91,0.93,0.78,0.78
taverna.csv,0.31,0.27,0.17,0.24,0.7,0.18,0.62,0.0,0.37,0.51,0.2,0.2,0.46,0.15,0.06
tigermud.csv,0.44,0.59,0.54,0.65,0.45,0.0,0.11,0.42,0.13,0.59,0.15,0.65,0.57,0.73,0.71
x-ray-mule.csv,0.39,0.34,0.27,0.87,0.42,0.0,0.15,0.24,0.06,0.64,0.0,0.68,0.39,0.38,0.0
