,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,continuum-ide.csv,mia.csv,ontopia.csv,runuomondains.csv,somap.csv,fleet-simulator.csv,tigermud.csv,hydrate.csv
algebsql.csv,0.38,0.44,0.52,0.56,0.45,0.54,0.86,0.38,0.36,0.16,0.13,0.05,0.05,0.13,0.48
continuum-ide.csv,0.35,0.29,0.18,0.0,0.13,0.05,0.0,0.79,0.07,0.37,0.58,0.17,0.09,0.13,0.58
fleet-simulator.csv,0.65,0.65,0.58,0.32,0.09,0.0,0.65,0.0,0.41,0.27,0.41,0.0,0.97,0.5,0.21
hydrate.csv,0.09,0.27,0.32,0.0,0.18,0.0,0.0,0.4,0.13,0.19,0.47,0.09,0.42,0.11,0.62
ivef-sdk.csv,0.56,0.6,0.61,0.62,0.56,1.0,0.26,0.45,0.2,0.59,0.0,0.0,0.0,0.13,0.04
jmri.csv,0.39,0.2,0.68,0.09,0.18,0.6,0.55,0.68,0.2,0.19,0.64,0.42,0.05,0.17,0.28
kdenlive.csv,0.73,0.49,0.51,0.37,0.65,0.26,0.61,0.55,0.05,0.34,0.51,0.52,0.86,0.53,0.57
mia.csv,0.1,0.19,0.18,0.16,0.3,0.51,0.0,0.28,0.64,0.29,0.53,0.28,0.49,0.0,0.25
ontopia.csv,0.62,0.5,0.52,0.6,0.25,0.12,0.3,0.28,0.49,0.8,0.36,0.38,0.35,0.41,0.52
opentibia.csv,0.36,0.74,0.42,0.44,0.54,0.05,0.37,0.33,0.07,0.37,0.41,0.26,0.0,0.34,0.64
runuomondains.csv,0.57,0.51,0.65,0.22,0.25,0.08,0.43,0.56,0.44,0.5,0.87,0.41,0.0,0.23,0.46
somap.csv,0.3,0.29,0.5,0.46,0.57,0.0,0.49,0.0,0.29,0.0,0.27,0.86,0.0,0.21,0.0
taverna.csv,0.22,0.19,0.12,0.2,0.78,0.12,0.64,0.0,0.55,0.38,0.15,0.13,0.35,0.11,0.04
tigermud.csv,0.37,0.45,0.53,0.61,0.53,0.0,0.07,0.54,0.47,0.42,0.29,0.5,0.0,0.68,0.56
x-ray-mule.csv,0.32,0.24,0.23,0.86,0.53,0.0,0.14,0.21,0.07,0.52,0.0,0.48,0.22,0.3,0.0
