,gotjava.csv,empserver.csv,ctrlr.csv,anaxagora.csv,gmerlin.csv,ffigo.csv,skia.csv,zemljanka.csv,wikipediardware.csv
anaxagora.csv,0.52,0.81,0.84,0.43,0.61,0.61,0.58,0.5,0.66
ctrlr.csv,1.04,0.63,0.39,0.9,0.91,0.81,0.98,0.87,0.75
empserver.csv,0.97,0.45,0.98,0.85,0.71,0.62,0.57,0.76,0.76
ffigo.csv,1.05,0.97,0.95,0.94,0.82,0.41,0.68,0.98,1.01
gmerlin.csv,1.21,0.63,0.82,0.83,0.49,1.0,0.9,1.0,1.0
skia.csv,0.43,0.76,0.88,0.64,0.54,0.77,0.52,0.52,0.76
wikipediardware.csv,0.95,0.97,0.88,0.68,0.7,0.85,0.74,0.5,0.3
zemljanka.csv,0.96,0.92,0.75,0.9,0.75,0.88,0.75,0.19,0.67
