,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.96,0.8,0.93,0.0,0.8,0.9,0.75,0.8,0.93,0.9
aubit4gl.csv,0.53,0.71,0.53,0.5,0.5,0.61,0.52,0.68,0.51,0.64
liferea.csv,0.67,0.54,0.84,0.83,0.53,0.48,0.62,0.54,0.85,0.51
moving-pictures.csv,0.45,0.42,0.41,0.5,0.56,0.76,0.54,0.82,0.59,0.63
opensim4opencog.csv,0.93,0.0,0.83,0.83,0.38,0.95,0.8,0.5,0.93,0.83
plearn.csv,0.72,0.65,0.71,0.62,0.39,0.94,0.4,0.7,0.61,0.65
psrchive.csv,0.67,0.0,0.92,0.5,0.93,0.94,0.67,0.95,0.89,0.67
re2c.csv,0.59,0.83,0.47,0.6,0.58,0.73,0.52,0.71,0.53,0.84
rebecca-aiml.csv,0.96,0.0,0.64,0.54,0.38,0.58,0.42,0.54,0.65,0.63
xfce.csv,0.5,0.4,0.52,0.44,0.44,0.45,0.34,0.47,0.63,0.47
