,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.2,0.5,0.21,0.08,0.06,0.17,0.14,0.18,0.19,0.83
aubit4gl.csv,0.56,0.5,0.64,0.54,0.96,0.57,0.5,0.53,0.72,0.67
liferea.csv,0.34,0.0,0.36,0.92,0.31,0.52,0.29,0.39,0.22,0.47
moving-pictures.csv,0.76,0.83,1.0,0.0,0.43,0.22,0.93,0.24,0.52,0.47
opensim4opencog.csv,0.15,0.17,0.29,0.31,0.48,0.96,0.07,0.48,0.19,0.07
plearn.csv,0.85,0.67,0.5,0.31,0.74,0.17,0.68,0.51,0.81,0.57
psrchive.csv,0.05,0.0,0.93,0.0,0.2,0.22,0.11,0.11,0.15,0.0
re2c.csv,0.44,1.0,0.79,0.08,0.59,0.35,0.54,0.43,0.76,0.27
rebecca-aiml.csv,0.22,0.17,0.5,0.46,0.74,0.52,0.46,0.54,1.0,0.43
xfce.csv,0.66,0.83,0.57,0.62,0.65,0.91,0.64,0.96,0.46,0.7
