,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.24,0.55,0.25,0.1,0.07,0.2,0.17,0.21,0.22,0.85
aubit4gl.csv,0.44,0.5,0.55,0.51,0.95,0.53,0.51,0.48,0.44,0.63
liferea.csv,0.38,0.0,0.4,0.93,0.34,0.55,0.33,0.44,0.26,0.5
moving-pictures.csv,0.62,0.29,0.57,0.0,0.46,0.25,0.94,0.28,0.47,0.46
opensim4opencog.csv,0.18,0.2,0.34,0.36,0.48,0.97,0.09,0.52,0.23,0.09
plearn.csv,0.87,0.66,0.54,0.34,0.47,0.2,0.49,0.49,0.78,0.54
psrchive.csv,0.06,0.0,0.94,0.0,0.24,0.26,0.13,0.13,0.18,0.0
re2c.csv,0.48,1.0,0.64,0.1,0.58,0.36,0.51,0.44,0.57,0.3
rebecca-aiml.csv,0.26,0.2,0.52,0.48,0.56,0.52,0.45,0.54,1.0,0.45
xfce.csv,0.62,0.57,0.55,0.58,0.55,0.67,0.5,0.96,0.47,0.61
