,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.29,0.55,0.21,0.14,0.1,0.24,0.25,0.3,0.21,0.85
aubit4gl.csv,0.32,0.18,0.25,0.31,0.95,0.2,0.51,0.59,0.39,0.35
liferea.csv,0.33,0.0,0.3,0.96,0.38,0.3,0.36,0.53,0.3,0.33
moving-pictures.csv,0.45,0.17,0.32,0.0,0.48,0.12,0.96,0.37,0.33,0.24
opensim4opencog.csv,0.24,0.29,0.4,0.42,0.5,0.98,0.12,0.6,0.24,0.11
plearn.csv,0.89,0.28,0.4,0.21,0.6,0.14,0.54,0.58,0.63,0.28
psrchive.csv,0.1,0.0,0.96,0.0,0.32,0.25,0.19,0.2,0.25,0.0
re2c.csv,0.41,1.0,0.31,0.06,0.6,0.13,0.49,0.52,0.43,0.15
rebecca-aiml.csv,0.3,0.29,0.3,0.32,0.62,0.2,0.44,0.62,0.99,0.27
xfce.csv,0.46,0.2,0.26,0.36,0.58,0.27,0.52,0.97,0.36,0.33
