,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.8,0.5,0.8,0.92,0.95,0.83,0.86,0.82,0.85,0.17
aubit4gl.csv,0.88,0.7,0.74,0.73,0.09,0.73,0.65,0.79,0.87,0.59
liferea.csv,0.72,1.03,0.67,0.08,0.79,0.55,0.76,0.64,0.79,0.62
moving-pictures.csv,0.69,0.94,0.79,1.0,0.69,0.86,0.07,0.78,0.82,0.78
opensim4opencog.csv,0.85,0.83,0.71,0.69,0.72,0.04,0.93,0.59,0.83,0.93
plearn.csv,0.15,0.5,0.53,0.85,0.85,0.85,0.84,0.74,0.36,0.71
psrchive.csv,0.95,1.0,0.07,1.0,0.8,0.79,0.89,0.89,0.85,1.0
re2c.csv,0.63,0.0,0.66,1.02,0.6,0.86,0.74,0.77,0.76,0.89
rebecca-aiml.csv,0.79,0.83,0.61,0.68,0.75,0.69,0.79,0.64,0.01,0.7
xfce.csv,0.6,0.76,0.68,0.67,0.74,0.68,0.82,0.06,0.71,0.66
