,fbmanager.csv,scen-connect.csv,wxlua.csv,officefloor.csv,stuproa-cims.csv,tart.csv,ontopia.csv,jgossipforum.csv,powerfolder.csv,madman.csv,power-architect.csv,hannosset.csv,bzbyte.csv,mediaportal.csv,poormans.csv,fleet-simulator.csv,ninject.csv,jruby.csv,hydrate.csv,uface.csv
bzbyte.csv,1.0,43.0,0.0,248.0,0.0,12.0,1.0,174.0,70.0,19.0,0.0,23.0,0.0,22.0,40.0,0.0,32.0,0.0,2.0,5.0
fbmanager.csv,0.0,61.0,1.0,18.0,1.0,3.0,0.0,34.0,14.0,6.0,1.0,1.0,0.0,13.0,3.0,0.0,4.0,0.0,3.0,0.0
fleet-simulator.csv,1.0,37.0,0.0,38.0,7.0,6.0,1.0,80.0,69.0,19.0,0.0,17.0,0.0,13.0,15.0,0.0,13.0,0.0,4.0,1.0
hannosset.csv,2.0,61.0,0.0,136.0,4.0,93.0,0.0,224.0,125.0,56.0,0.0,0.0,0.0,3.0,3.0,0.0,59.0,0.0,1.0,0.0
hydrate.csv,2.0,1.0,1.0,62.0,0.0,93.0,0.0,224.0,2.0,56.0,0.0,2.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0
jgossipforum.csv,0.0,61.0,0.0,6.0,2.0,93.0,0.0,1.0,125.0,0.0,0.0,74.0,2.0,0.0,161.0,0.0,59.0,0.0,0.0,0.0
jruby.csv,5.0,34.0,1.0,58.0,1.0,93.0,0.0,77.0,58.0,18.0,0.0,6.0,0.0,15.0,15.0,0.0,8.0,0.0,3.0,3.0
madman.csv,0.0,5.0,0.0,74.0,2.0,6.0,0.0,224.0,1.0,0.0,0.0,74.0,0.0,7.0,161.0,61.0,7.0,0.0,0.0,1.0
mediaportal.csv,64.0,61.0,0.0,74.0,6.0,93.0,0.0,149.0,91.0,56.0,0.0,0.0,0.0,0.0,10.0,2.0,22.0,0.0,4.0,0.0
ninject.csv,0.0,57.0,0.0,81.0,6.0,7.0,0.0,224.0,91.0,3.0,0.0,1.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0
officefloor.csv,1.0,61.0,95.0,2.0,6.0,12.0,0.0,224.0,125.0,30.0,0.0,17.0,0.0,23.0,1.0,2.0,32.0,0.0,3.0,0.0
ontopia.csv,1.0,61.0,0.0,128.0,2.0,8.0,0.0,114.0,53.0,17.0,0.0,17.0,2.0,4.0,20.0,2.0,22.0,0.0,2.0,17.0
poormans.csv,1.0,3.0,0.0,4.0,2.0,93.0,0.0,5.0,24.0,22.0,0.0,11.0,0.0,32.0,0.0,0.0,6.0,0.0,2.0,0.0
power-architect.csv,1.0,46.0,0.0,24.0,8.0,9.0,0.0,224.0,74.0,18.0,0.0,21.0,0.0,4.0,30.0,0.0,25.0,0.0,3.0,11.0
powerfolder.csv,64.0,61.0,95.0,10.0,1.0,93.0,0.0,224.0,0.0,56.0,0.0,74.0,0.0,5.0,0.0,61.0,59.0,0.0,0.0,161.0
stuproa-cims.csv,1.0,26.0,0.0,323.0,0.0,33.0,0.0,101.0,39.0,16.0,0.0,17.0,0.0,7.0,40.0,0.0,31.0,0.0,3.0,0.0
tart.csv,64.0,61.0,0.0,10.0,1.0,0.0,89.0,224.0,125.0,56.0,0.0,74.0,0.0,0.0,161.0,0.0,59.0,144.0,51.0,161.0
uface.csv,1.0,40.0,0.0,92.0,0.0,12.0,0.0,90.0,72.0,25.0,0.0,18.0,2.0,23.0,10.0,0.0,23.0,0.0,3.0,0.0
wxlua.csv,1.0,61.0,0.0,323.0,6.0,2.0,0.0,146.0,90.0,23.0,0.0,19.0,0.0,23.0,49.0,0.0,33.0,0.0,0.0,0.0
