,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.39,0.95,0.22,0.2,0.3,0.54,0.3,0.79,0.07,0.2
libtorrent.csv,0.79,0.86,0.89,0.73,0.89,1.0,0.85,0.96,0.93,0.98
mcmc-jags.csv,0.56,0.41,0.33,0.93,0.45,0.46,0.67,0.57,0.2,0.78
nebuladevice.csv,0.16,0.27,0.56,0.13,0.5,0.25,0.2,0.36,1.0,0.1
olap-navigator.csv,0.98,0.64,0.37,0.53,0.73,0.39,0.61,0.79,0.2,0.86
pidgin.csv,0.48,0.73,0.81,0.47,0.98,0.67,0.74,0.82,0.73,0.86
salasaga.csv,0.89,0.95,0.7,0.87,0.66,0.8,0.78,0.82,0.8,0.81
sepgsql.csv,0.23,0.05,0.93,0.13,0.07,0.0,0.02,0.0,0.0,0.06
xstore.csv,0.57,0.41,0.63,0.4,0.66,0.41,0.98,0.96,0.4,0.9
xtreemfs.csv,0.59,0.86,0.89,0.47,0.5,0.54,0.67,0.36,0.8,0.99
