,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.43,0.96,0.25,0.24,0.34,0.53,0.34,0.43,0.09,0.23
libtorrent.csv,0.56,0.65,0.6,0.68,0.61,0.98,0.65,0.55,0.49,0.21
mcmc-jags.csv,0.58,0.37,0.38,0.94,0.49,0.5,0.68,0.6,0.23,0.66
nebuladevice.csv,0.19,0.31,0.59,0.16,0.51,0.29,0.24,0.4,1.0,0.12
olap-navigator.csv,0.98,0.57,0.41,0.58,0.59,0.44,0.59,0.52,0.23,0.69
pidgin.csv,0.52,0.67,0.67,0.49,0.98,0.64,0.69,0.38,0.69,0.75
salasaga.csv,0.0,0.54,0.47,0.09,0.42,0.23,0.2,0.85,0.43,0.29
sepgsql.csv,0.27,0.06,0.94,0.16,0.09,0.0,0.02,0.0,0.0,0.07
xstore.csv,0.57,0.42,0.65,0.45,0.66,0.46,0.98,0.05,0.44,0.8
xtreemfs.csv,0.57,0.56,0.62,0.51,0.53,0.57,0.67,0.4,0.65,0.99
