,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.26,0.0,0.5,0.21,0.28,0.5,0.27,0.85,0.28,0.38
libtorrent.csv,0.74,0.67,0.74,0.48,0.73,0.11,0.66,0.8,0.83,0.95
mcmc-jags.csv,0.3,0.73,0.16,0.0,0.2,0.28,0.29,0.2,0.42,0.59
nebuladevice.csv,0.07,0.2,0.26,0.07,0.44,0.11,0.0,0.19,0.0,0.08
olap-navigator.csv,0.0,0.6,0.28,0.07,0.66,0.17,0.49,0.78,0.28,0.61
pidgin.csv,0.22,0.5,0.61,0.38,0.0,0.44,0.46,0.88,0.44,0.51
salasaga.csv,1.0,0.8,0.8,0.98,0.83,0.94,0.95,0.0,0.85,0.92
sepgsql.csv,0.15,0.1,0.0,0.0,0.08,0.0,0.0,0.0,0.01,0.0
xstore.csv,0.44,0.53,0.27,0.19,0.34,0.11,0.02,0.99,0.28,0.44
xtreemfs.csv,0.48,0.77,0.72,0.19,0.31,0.28,0.34,0.24,0.63,0.0
