,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.66,0.05,0.93,0.83,0.75,0.68,0.75,0.88,0.97,0.88
libtorrent.csv,0.77,0.68,0.75,0.55,0.74,0.11,0.68,0.8,0.83,0.95
mcmc-jags.csv,0.53,0.94,0.69,0.07,0.59,0.6,0.44,0.47,0.9,0.63
nebuladevice.csv,0.84,0.75,0.51,0.87,0.66,0.76,0.8,0.67,0.0,0.91
olap-navigator.csv,0.02,0.7,0.69,0.47,0.71,0.63,0.63,0.81,0.85,0.62
pidgin.csv,0.57,0.57,0.64,0.66,0.02,0.55,0.53,0.9,0.51,0.53
salasaga.csv,1.01,0.8,0.85,0.99,0.9,0.96,0.98,0.18,0.87,0.94
sepgsql.csv,0.78,0.96,0.07,0.87,0.94,1.0,0.98,1.0,1.0,0.94
xstore.csv,0.62,0.8,0.46,0.63,0.49,0.6,0.03,0.99,0.66,0.45
xtreemfs.csv,0.63,0.78,0.73,0.57,0.59,0.54,0.47,0.68,0.66,0.01
