,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.71,0.62,0.62,0.92,0.72,0.52,0.84,0.62,0.95,0.79
libtorrent.csv,0.37,0.41,0.36,0.45,0.36,0.36,0.48,0.5,0.34,0.3
mcmc-jags.csv,0.43,0.48,0.99,0.79,0.51,0.48,0.49,0.6,0.55,0.38
nebuladevice.csv,0.92,0.58,0.56,0.8,0.51,0.81,0.89,0.62,0.93,0.97
olap-navigator.csv,0.53,0.44,0.89,0.91,0.44,0.59,0.56,0.57,0.7,0.36
pidgin.csv,0.51,0.39,0.38,0.7,0.39,0.41,0.45,0.56,0.48,0.35
salasaga.csv,0.47,0.4,0.47,0.46,0.47,0.41,0.52,0.96,0.36,0.36
sepgsql.csv,0.94,0.75,0.96,0.5,0.94,0.0,0.0,0.0,0.0,0.95
xstore.csv,0.36,0.44,0.55,0.71,0.4,0.55,0.52,0.54,0.58,0.34
xtreemfs.csv,0.41,0.36,0.35,0.53,0.45,0.4,0.42,0.6,0.35,0.34
