,brlcad.csv,konversation.csv,firebreath.csv,fltk.csv,co-ode-owl-plugins.csv,openxava.csv,gretl.csv,bibedt.csv,sumatrapdf.csv,micomt.csv,glas.csv,wxcode.csv,tweetsharp.csv,arm-webradio.csv
arm-webradio.csv,0.28,0.25,0.6,0.7,0.12,0.08,0.91,0.57,0.78,0.23,0.42,0.21,0.9,0.97
bibedt.csv,0.31,0.43,0.59,0.72,0.14,0.27,0.9,1.0,0.55,0.25,0.5,0.18,0.75,0.84
brlcad.csv,1.0,0.13,0.38,0.57,0.16,0.07,0.82,0.21,0.35,0.19,0.4,0.09,0.75,0.09
co-ode-owl-plugins.csv,0.21,0.0,0.38,0.71,1.0,0.08,0.91,0.0,1.0,0.46,0.14,0.25,1.0,0.31
firebreath.csv,0.25,0.2,1.0,0.46,0.09,0.24,0.82,0.2,0.48,0.12,0.33,0.12,0.74,0.27
fltk.csv,0.24,0.18,0.45,0.99,0.13,0.09,0.82,0.33,0.55,0.36,0.38,0.13,0.76,0.37
glas.csv,0.28,0.04,0.39,0.36,0.12,0.08,0.91,0.12,0.31,0.0,1.0,0.0,0.67,0.29
gretl.csv,0.25,0.14,0.41,0.65,0.18,0.12,1.0,0.21,0.4,0.16,0.4,0.07,0.72,0.27
konversation.csv,0.27,1.0,0.4,0.72,0.33,0.07,0.73,0.0,0.83,0.0,0.0,0.0,0.82,1.0
micomt.csv,0.39,0.18,0.44,0.73,0.15,0.08,1.0,1.0,0.62,1.0,0.0,0.11,0.85,0.0
openxava.csv,0.36,0.3,0.45,0.53,0.14,1.0,0.84,0.29,1.0,0.17,0.4,0.17,0.77,0.6
sumatrapdf.csv,0.25,0.24,0.37,0.71,0.19,0.13,0.85,0.15,1.0,0.16,0.58,0.19,0.79,0.31
tweetsharp.csv,0.24,0.16,0.4,0.57,0.3,0.11,0.74,0.43,0.34,0.17,0.39,0.09,1.0,0.34
wxcode.csv,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.0
