,brlcad.csv,konversation.csv,firebreath.csv,fltk.csv,co-ode-owl-plugins.csv,openxava.csv,gretl.csv,bibedt.csv,sumatrapdf.csv,micomt.csv,glas.csv,wxcode.csv,tweetsharp.csv,arm-webradio.csv
arm-webradio.csv,0.38,0.36,0.57,0.71,0.11,0.15,0.61,0.47,0.67,0.32,0.41,0.32,0.6,0.99
bibedt.csv,0.38,0.55,0.32,0.49,0.08,0.32,0.46,0.95,0.29,0.19,0.1,0.22,0.48,0.59
brlcad.csv,0.98,0.22,0.53,0.72,0.28,0.13,0.48,0.33,0.51,0.32,0.57,0.17,0.77,0.12
co-ode-owl-plugins.csv,0.08,0.0,0.2,0.5,0.97,0.11,0.13,0.0,0.06,0.46,0.08,0.18,0.05,0.2
firebreath.csv,0.37,0.32,0.97,0.35,0.15,0.35,0.85,0.29,0.41,0.16,0.09,0.2,0.46,0.42
fltk.csv,0.32,0.3,0.48,0.99,0.18,0.16,0.67,0.36,0.61,0.46,0.2,0.2,0.57,0.47
glas.csv,0.36,0.05,0.29,0.16,0.16,0.11,0.43,0.15,0.36,0.0,0.96,0.0,0.4,0.32
gretl.csv,0.39,0.24,0.55,0.69,0.3,0.21,0.99,0.35,0.53,0.28,0.55,0.13,0.75,0.42
konversation.csv,0.17,0.91,0.06,0.41,0.1,0.11,0.4,0.0,0.27,0.0,0.0,0.0,0.34,0.48
micomt.csv,0.06,0.17,0.32,0.34,0.22,0.12,0.14,0.33,0.36,0.96,0.0,0.12,0.55,0.0
openxava.csv,0.22,0.4,0.29,0.43,0.12,0.97,0.54,0.37,0.18,0.19,0.36,0.27,0.36,0.6
sumatrapdf.csv,0.39,0.36,0.44,0.71,0.25,0.22,0.84,0.22,0.98,0.22,0.39,0.33,0.63,0.39
tweetsharp.csv,0.33,0.28,0.44,0.6,0.43,0.19,0.47,0.5,0.44,0.28,0.52,0.16,0.99,0.38
wxcode.csv,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.06,0.0,0.0,1.0,0.09,0.0
