,brlcad.csv,konversation.csv,firebreath.csv,fltk.csv,co-ode-owl-plugins.csv,openxava.csv,gretl.csv,bibedt.csv,sumatrapdf.csv,micomt.csv,glas.csv,wxcode.csv,tweetsharp.csv,arm-webradio.csv
arm-webradio.csv,0.56,0.67,0.55,0.71,0.11,0.75,0.47,0.4,0.58,0.54,0.41,0.71,0.45,1.0
bibedt.csv,0.49,0.75,0.22,0.37,0.06,0.38,0.31,0.9,0.19,0.15,0.05,0.29,0.36,0.46
brlcad.csv,0.95,0.92,0.92,0.98,0.94,0.56,0.34,0.7,0.9,0.92,1.0,1.0,0.79,0.17
co-ode-owl-plugins.csv,0.05,0.0,0.13,0.39,0.94,0.19,0.07,0.0,0.03,0.46,0.05,0.14,0.02,0.14
firebreath.csv,0.73,0.83,0.93,0.28,0.33,0.62,0.9,0.5,0.35,0.23,0.05,0.57,0.33,0.94
fltk.csv,0.5,0.75,0.5,0.99,0.28,0.56,0.56,0.4,0.68,0.62,0.14,0.43,0.45,0.63
glas.csv,0.51,0.08,0.23,0.1,0.22,0.19,0.28,0.2,0.42,0.0,0.92,0.0,0.29,0.37
gretl.csv,0.9,1.0,0.82,0.73,0.94,0.94,0.99,0.9,0.81,0.85,0.86,0.57,0.79,0.91
konversation.csv,0.12,0.83,0.03,0.29,0.06,0.25,0.28,0.0,0.16,0.0,0.0,0.0,0.21,0.31
micomt.csv,0.03,0.17,0.25,0.22,0.39,0.38,0.08,0.2,0.26,0.92,0.0,0.14,0.4,0.0
openxava.csv,0.15,0.58,0.22,0.36,0.11,0.94,0.4,0.5,0.1,0.23,0.32,0.71,0.24,0.6
sumatrapdf.csv,0.89,0.75,0.55,0.7,0.39,0.69,0.84,0.4,0.97,0.38,0.3,1.0,0.52,0.54
tweetsharp.csv,0.52,1.0,0.48,0.63,0.78,0.81,0.34,0.6,0.61,0.69,0.78,0.57,0.98,0.43
wxcode.csv,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.03,0.0,0.0,1.0,0.05,0.0
