,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv,fulguro.csv
codepurge.csv,0.29,0.31,0.33,0.28,0.43,0.43,0.25,0.43,0.67,0.23,0.39,0.17,0.28
ctrlr.csv,0.44,0.0,0.13,0.56,0.24,0.06,0.29,0.32,0.5,0.4,0.28,0.5,0.44
dvt.csv,0.75,0.99,0.18,0.35,0.89,0.27,0.61,0.78,0.5,0.61,0.41,0.23,0.68
flylinkdc.csv,0.23,0.95,0.85,0.89,0.27,0.61,0.73,0.38,0.67,0.39,0.43,0.83,0.82
free-evolution.csv,0.95,1.0,1.0,0.47,0.59,0.5,0.34,0.7,1.0,0.52,0.4,0.5,0.43
fulguro.csv,0.01,0.0,0.69,0.01,0.03,0.67,0.49,0.54,0.0,0.68,0.79,0.93,0.29
fw4spl.csv,0.4,0.2,0.28,0.28,0.32,0.24,0.39,0.49,0.17,0.59,0.24,0.17,0.52
ipfire-wall.csv,0.3,0.37,0.56,0.22,0.08,0.23,0.39,0.27,0.5,0.09,0.08,0.33,0.3
ldview.csv,0.97,0.95,0.69,0.9,0.38,0.82,0.12,1.0,0.83,0.11,0.65,0.8,0.8
nuttx.csv,0.37,0.05,0.41,0.3,0.65,0.21,0.34,0.62,0.67,0.68,0.56,0.2,0.53
uclmda.csv,0.31,0.01,0.23,0.09,0.59,0.36,0.14,0.35,0.0,0.38,0.21,0.13,0.11
vdsf.csv,0.78,0.26,0.95,0.79,0.59,0.48,0.76,0.81,0.67,0.62,0.84,0.77,0.28
xcf.csv,0.6,0.34,0.49,0.33,0.3,0.35,0.39,0.65,0.83,0.35,0.23,0.3,0.61
