,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv,fulguro.csv
codepurge.csv,0.45,0.39,0.32,0.49,0.53,0.59,0.06,0.56,0.68,0.65,0.56,0.14,0.31
ctrlr.csv,0.38,0.0,0.12,0.31,0.33,0.07,0.75,0.2,0.58,0.1,0.24,0.48,0.47
dvt.csv,0.59,0.05,0.4,0.72,0.34,0.42,0.67,0.53,0.83,0.59,0.56,0.48,0.28
flylinkdc.csv,0.74,0.2,0.43,0.36,0.42,0.47,0.47,0.61,0.02,0.55,0.47,0.37,0.5
free-evolution.csv,0.21,0.0,0.0,0.51,0.65,0.65,0.63,0.54,0.0,0.67,0.61,0.66,0.69
fulguro.csv,0.0,0.01,0.52,0.0,0.0,0.52,0.22,0.71,0.0,0.57,0.49,0.27,0.65
fw4spl.csv,0.55,0.38,0.31,0.2,0.28,0.61,0.46,0.59,0.07,0.62,0.58,0.39,0.53
ipfire-wall.csv,0.47,0.52,0.4,0.3,0.06,0.33,0.22,0.77,0.0,0.25,0.18,0.47,0.48
ldview.csv,0.13,0.21,0.49,0.31,0.76,0.5,0.17,0.0,0.46,0.2,0.57,0.48,0.56
nuttx.csv,0.6,0.04,0.67,0.55,0.62,0.39,0.51,0.3,0.55,0.61,0.66,0.62,0.3
uclmda.csv,0.22,0.0,0.2,0.15,0.39,0.35,0.28,0.2,0.99,0.32,0.31,0.29,0.11
vdsf.csv,0.47,0.44,0.2,0.49,0.56,0.34,0.45,0.54,0.17,0.44,0.43,0.46,0.65
xcf.csv,0.64,0.64,0.48,0.53,0.59,0.52,0.58,0.73,0.2,0.2,0.28,0.76,0.67
