,id,count_recall,count_precision,count_pf,count_pci_20,cdom_score,bellwether
54,2,1,2,2,2,1,mclient-mume.csv
50,3,1,2,6,6,6,jam-daq.csv
48,4,1,6,13,16,16,jsecurity.csv
56,5,2,4,8,8,9,mule.csv
22,6,1,9,15,16,17,gabel.csv
17,7,1,3,16,14,15,jbpm.csv
27,8,1,0,6,11,10,pustefix.csv
25,10,1,0,1,1,0,atunes.csv
16,11,1,0,3,3,2,emftriple.csv
55,13,1,2,1,3,2,amanda.csv
57,14,1,5,17,15,15,zealos.csv
49,15,0,4,11,12,13,aufs.csv
19,16,0,4,8,8,7,jfreereport.csv
24,17,1,0,1,2,1,voms.csv
14,18,2,1,1,3,2,lmms.csv
26,19,3,6,8,8,7,ng4j.csv
13,20,5,1,7,13,13,gnupdate.csv
28,21,0,4,8,8,7,cortex-vfx.csv
58,22,3,5,7,10,10,aztec.csv
15,27,1,2,7,7,6,h2database.csv
23,28,4,1,10,14,14,stuproa-cims.csv
18,29,2,4,14,15,15,taverna.csv
38,30,1,11,13,19,17,powerfolder.csv
33,31,0,2,5,5,4,mediaportal.csv
12,33,4,2,5,9,9,bacnet.csv
11,34,3,1,2,7,6,jguard.csv
6,35,1,2,2,4,3,zorannt.csv
32,36,5,6,7,15,15,qcad2.csv
39,37,1,13,18,12,17,reaper-ecad.csv
31,38,2,3,6,7,6,sepgsql.csv
40,39,1,7,16,15,15,customsagetv.csv
52,40,1,3,6,8,6,rtb-team.csv
46,41,4,4,11,13,14,jcae.csv
20,42,2,2,5,5,5,adaptagrams.csv
30,43,1,6,8,13,12,ftm.csv
29,44,1,15,20,20,19,genoviz.csv
21,45,1,2,4,4,3,tolven.csv
45,46,2,2,4,5,4,rezilla.csv
53,47,13,6,7,19,19,zscreen.csv
47,48,2,2,6,8,8,exordium.csv
51,49,4,5,6,7,6,riff-evolve.csv
3,50,1,7,12,7,11,lportal.csv
41,52,1,5,11,10,10,mvdsv.csv
37,53,3,2,12,15,15,mia.csv
36,54,2,1,2,3,2,graphmak.csv
42,55,1,3,15,19,17,jvcl.csv
7,56,2,1,6,8,8,ossim.csv
5,57,4,5,10,16,17,mvnforum.csv
8,58,1,8,17,17,14,ibatisdb.csv
1,59,2,2,1,2,1,jmol.csv
10,60,1,4,10,14,13,nuttx.csv
0,61,1,5,9,8,9,alembik.csv
35,62,3,2,3,4,5,codeblocks.csv
43,63,4,7,11,15,17,elvishrayrenderer.csv
44,64,3,3,11,12,11,adobe-source.csv
34,65,3,3,6,9,9,pfaedit.csv
2,66,1,3,5,9,8,tencompetence.csv
9,67,0,0,1,1,0,jrdf.csv
4,68,1,6,5,10,9,rodin-b-sharp.csv
