,f1,g,recall,precision,pf,cdom,bellwether
1,0.54,0.52,0.44,0.455,0.48,6.0,personalaccess.csv
9,0.71,0.575,0.385,0.47,0.47,1.0,atunes.csv
12,0.765,0.59,0.41,0.455,0.535,9.0,xtreemfs.csv
26,0.44,0.445,0.4,0.475,0.5,4.0,poormans.csv
32,0.67,0.685,0.585,0.51,0.47,17.0,igarden.csv
51,0.86,0.4,0.43,0.5,0.48,16.0,oppna-program-hsatools.csv
23,0.8200000000000001,0.585,0.585,0.49,0.49,1.0,magicwars.csv
24,0.48,0.53,0.45,0.52,0.5,4.0,codesmith.csv
25,0.7,0.615,0.53,0.55,0.57,0.0,xmemcached.csv
