,xbrlapi.csv,vdsf.csv,maidsafe-dht.csv,dvt.csv,gotjava.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jguard.csv,empserver.csv,kowari.csv,mimosa.csv,google-web-toolkit.csv
dvt.csv,0.22,0.17,0.24,0.7,0.0,0.28,0.63,0.0,0.09,0.2,0.0,0.04,0.16
empserver.csv,0.61,0.56,0.58,0.42,0.17,0.13,0.21,0.62,0.4,0.69,0.34,0.71,0.49
emulemorph.csv,0.06,0.0,0.0,0.02,0.0,0.01,0.0,0.67,0.0,0.22,0.0,0.0,0.24
google-web-toolkit.csv,0.2,0.34,0.58,0.35,0.17,0.43,0.55,0.7,0.52,0.32,0.17,0.66,0.67
htmlunit.csv,0.57,0.27,0.7,0.5,0.97,0.59,0.94,0.51,0.5,0.56,0.6,0.52,0.44
jaxen.csv,0.54,0.73,0.56,0.47,0.91,0.61,0.98,0.44,0.37,0.23,0.56,0.31,0.6
jguard.csv,0.53,0.0,0.45,0.59,0.81,0.63,0.57,0.64,0.64,0.58,0.7,0.61,0.49
kowari.csv,0.33,0.18,0.47,0.2,0.0,0.68,0.44,0.62,0.52,0.42,0.72,0.35,0.46
maidsafe-dht.csv,0.37,0.66,0.61,0.3,0.0,0.67,0.43,0.62,0.52,0.65,0.61,0.66,0.37
mimosa.csv,0.64,0.05,0.63,0.51,0.52,0.48,0.55,0.51,0.58,0.32,0.8,0.81,0.47
vdsf.csv,0.63,0.41,0.43,0.54,0.0,0.05,0.17,0.41,0.17,0.0,0.12,0.25,0.51
xbrlapi.csv,0.68,0.0,0.09,0.28,0.0,0.39,0.44,0.75,0.47,0.0,0.16,0.56,0.39
