,xbrlapi.csv,vdsf.csv,maidsafe-dht.csv,dvt.csv,gotjava.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jguard.csv,empserver.csv,kowari.csv,mimosa.csv,google-web-toolkit.csv
dvt.csv,0.9,0.96,0.85,0.42,1.0,0.83,0.44,1.01,0.93,0.85,1.0,0.97,0.88
empserver.csv,0.71,0.54,0.73,0.67,0.96,0.98,0.95,0.71,0.73,0.43,0.91,0.59,0.83
emulemorph.csv,0.95,1.0,1.0,1.01,1.0,0.99,1.0,0.47,1.0,0.91,1.0,1.0,0.82
google-web-toolkit.csv,0.96,0.8,0.59,0.76,0.96,0.66,0.71,0.59,0.8,0.73,0.97,0.66,0.52
htmlunit.csv,0.7,0.93,0.43,0.64,0.15,0.5,0.23,0.68,0.64,0.66,0.49,0.63,0.69
jaxen.csv,0.78,0.4,0.76,0.85,0.32,0.6,0.11,0.86,0.9,0.97,0.78,0.96,0.72
jguard.csv,0.76,1.0,0.75,0.54,0.54,0.53,0.77,0.57,0.46,0.71,0.45,0.46,0.68
kowari.csv,0.77,0.85,0.65,0.85,1.0,0.55,0.66,0.63,0.79,0.71,0.35,0.78,0.78
maidsafe-dht.csv,0.72,0.61,0.45,0.79,1.02,0.54,0.7,0.63,0.75,0.67,0.76,0.61,0.73
mimosa.csv,0.65,1.0,0.71,0.82,0.82,0.84,0.78,0.82,0.58,0.91,0.39,0.28,0.84
vdsf.csv,0.71,0.65,0.88,0.79,1.38,1.02,1.2,0.91,0.97,1.0,1.13,0.97,0.82
xbrlapi.csv,0.51,1.0,0.94,0.77,1.23,0.78,0.68,0.49,0.82,1.0,1.06,0.54,0.73
