,awemud.csv,liferea.csv,go.csv,kwave.csv,dvd-create.csv,gbif-indexingtoolkit.csv,mpgravity.csv,clamav.csv,linux-ntfs.csv,libarchive.csv
awemud.csv,0.01,0.46,0.51,0.62,0.57,0.59,0.77,0.72,0.71,0.62
clamav.csv,0.7,0.86,0.54,0.96,0.79,0.75,0.92,0.0,0.74,0.69
dvd-create.csv,0.75,0.88,0.76,0.67,0.03,0.66,0.64,0.56,0.82,0.74
gbif-indexingtoolkit.csv,0.82,0.69,0.79,0.72,0.9,0.09,1.0,0.84,0.78,0.62
go.csv,0.57,0.63,0.03,0.66,0.51,0.79,0.76,0.68,0.77,0.53
kwave.csv,0.82,0.9,0.94,0.0,0.92,0.79,1.07,0.76,0.9,0.86
libarchive.csv,0.53,0.57,0.52,0.66,0.67,0.68,0.92,0.8,0.62,0.02
liferea.csv,0.57,0.0,0.63,1.0,0.86,0.7,1.0,0.8,0.55,0.6
linux-ntfs.csv,0.67,0.78,0.52,0.66,0.74,0.46,1.0,0.91,0.0,0.46
mpgravity.csv,0.62,0.61,0.61,0.87,0.76,0.78,0.0,0.76,0.52,0.54
