,awemud.csv,liferea.csv,go.csv,kwave.csv,dvd-create.csv,gbif-indexingtoolkit.csv,mpgravity.csv,clamav.csv,linux-ntfs.csv,libarchive.csv
awemud.csv,0.99,0.62,0.57,0.5,0.45,0.64,0.5,0.35,0.65,0.41
clamav.csv,0.37,0.15,0.54,0.06,0.22,0.27,0.08,1.0,0.27,0.33
dvd-create.csv,0.85,0.85,0.91,0.75,0.97,0.73,0.42,0.95,0.81,0.73
gbif-indexingtoolkit.csv,0.18,0.38,0.47,0.56,0.15,0.91,0.0,0.35,0.23,0.51
go.csv,0.79,0.85,0.97,0.44,0.61,0.27,0.25,0.35,0.73,0.67
kwave.csv,0.21,0.31,0.32,1.0,0.43,0.27,0.5,0.4,0.12,0.43
libarchive.csv,0.59,0.69,0.52,0.44,0.42,0.55,0.08,0.2,0.46,0.98
liferea.csv,0.45,1.0,0.38,0.0,0.14,0.36,0.0,0.2,0.58,0.41
linux-ntfs.csv,0.42,0.23,0.53,0.44,0.3,0.64,0.0,0.1,1.0,0.59
mpgravity.csv,0.38,0.62,0.52,0.38,0.43,0.55,1.0,0.55,0.73,0.57
