,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.85,0.53,0.72,0.48,0.5,0.58,0.47,0.34,0.38,0.47,0.45,0.36
autowikibrowser.csv,0.4,0.34,0.34,0.35,0.4,0.34,0.47,0.33,0.38,0.39,0.31,0.32
cities3d.csv,0.0,0.38,0.98,0.53,0.92,0.59,0.59,0.0,0.86,0.61,0.42,0.0
firebird.csv,0.67,0.53,0.45,0.5,0.57,0.35,0.6,0.37,0.35,0.36,0.44,0.44
hydrogen.csv,0.46,0.37,0.39,0.42,0.44,0.34,0.55,0.67,0.35,0.38,0.42,0.37
lphant.csv,0.39,0.35,0.37,0.39,0.4,0.4,0.45,0.39,0.39,0.35,0.32,0.33
qgo.csv,0.38,0.39,0.34,0.39,0.43,0.3,0.42,0.35,0.35,0.34,0.35,0.32
quickfast.csv,0.42,0.52,0.41,0.6,0.81,0.42,0.53,0.65,0.37,0.38,0.44,0.36
rhex.csv,0.55,0.36,0.65,0.56,0.94,0.51,0.56,0.58,0.0,0.88,0.4,0.43
rocrail.csv,0.45,0.4,0.45,0.44,0.55,0.43,0.51,0.47,0.36,0.43,0.4,0.42
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0
yield.csv,0.43,0.35,0.37,0.43,0.5,0.34,0.55,0.36,0.34,0.4,0.37,0.39
