,gpsmid.csv,emftriple.csv,fluent-nhibernate.csv,columba.csv
columba.csv,0.49,0.47,0.63,0.64
emftriple.csv,0.0,0.9,0.0,0.88
fluent-nhibernate.csv,0.88,0.69,0.94,0.89
gpsmid.csv,0.41,0.47,0.46,0.69
