,sqlpower-library.csv,stuproa-cims.csv,galaxium.csv,itext.csv,smartgwt.csv,fido.csv,bzbyte.csv,mediaportal.csv,mecat.csv,fleet-simulator.csv,ninject.csv,fluent-nhibernate.csv,uface.csv
bzbyte.csv,0.0,2.0,5.0,6.0,21.0,24.0,0.0,52.0,17.0,6.0,27.0,45.0,0.0
fido.csv,62.0,204.0,121.0,63.0,387.0,0.0,74.0,636.0,62.0,61.0,59.0,183.0,161.0
fleet-simulator.csv,0.0,1.0,10.0,9.0,0.0,16.0,0.0,30.0,24.0,0.0,23.0,67.0,0.0
fluent-nhibernate.csv,62.0,9.0,2.0,3.0,0.0,106.0,0.0,15.0,2.0,61.0,59.0,0.0,0.0
galaxium.csv,0.0,6.0,0.0,0.0,2.0,13.0,3.0,30.0,30.0,2.0,11.0,37.0,18.0
itext.csv,0.0,0.0,1.0,0.0,2.0,106.0,0.0,5.0,62.0,0.0,3.0,4.0,0.0
mecat.csv,62.0,204.0,121.0,63.0,387.0,106.0,74.0,636.0,0.0,61.0,59.0,183.0,161.0
mediaportal.csv,0.0,6.0,1.0,1.0,2.0,16.0,0.0,0.0,16.0,2.0,4.0,8.0,18.0
ninject.csv,0.0,0.0,1.0,0.0,1.0,2.0,0.0,4.0,1.0,0.0,0.0,16.0,0.0
smartgwt.csv,0.0,13.0,5.0,7.0,0.0,18.0,1.0,22.0,20.0,6.0,26.0,28.0,0.0
sqlpower-library.csv,0.0,5.0,5.0,10.0,1.0,42.0,0.0,22.0,13.0,8.0,16.0,47.0,0.0
stuproa-cims.csv,0.0,0.0,6.0,10.0,7.0,13.0,0.0,23.0,21.0,6.0,31.0,38.0,0.0
uface.csv,1.0,0.0,11.0,10.0,2.0,12.0,1.0,23.0,19.0,0.0,21.0,40.0,0.0
