,recall,precision,pf,cdom,bellwether
2,0.51,0.395,0.26,19.0,proftp.csv
23,0.59,0.37,0.315,6.0,opensim4opencog.csv
31,0.295,0.85,0.26,3.0,gtad.csv
36,0.53,0.42,0.26,11.0,chrysalis.csv
49,0.62,0.345,0.26,13.0,netatalk.csv
1,0.82,0.9099999999999999,0.82,0.0,atunes.csv
