,ontomorphtab.csv,delphilhlplib.csv,flexpay.csv,gabel.csv,img-browse-sort.csv,passwordsafe.csv,genoviz.csv
delphilhlplib.csv,0.54,0.98,0.53,0.4,0.61,0.6,0.59
flexpay.csv,0.32,0.6,0.91,0.43,0.44,0.35,0.38
gabel.csv,0.2,0.1,0.12,1.0,0.0,0.0,0.24
genoviz.csv,0.17,0.47,0.15,0.29,0.1,0.22,1.0
img-browse-sort.csv,0.42,0.54,0.42,0.72,1.0,0.32,0.74
ontomorphtab.csv,0.91,0.71,0.62,0.76,0.27,0.17,0.44
passwordsafe.csv,0.6,0.44,0.5,0.63,0.58,0.94,0.69
