,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,exist.csv,wheat.csv,power-architect.csv,bigdata.csv,wsmt.csv,opendvr.csv,icescrum.csv
apertium.csv,0.34,0.74,0.59,0.47,0.4,0.48,0.0,0.49,0.61,0.74,0.9,0.33,0.4,0.42,0.0,0.4
beast-mcmc.csv,0.49,0.4,0.47,0.49,0.4,0.4,0.38,0.42,0.42,0.34,0.38,0.34,0.4,0.39,0.47,0.36
bigdata.csv,0.91,0.58,0.65,0.55,0.5,0.86,0.37,0.74,0.75,0.5,0.35,0.85,0.47,0.67,0.95,0.61
cuberok.csv,0.69,0.65,0.61,0.64,0.48,0.53,0.56,0.67,0.7,0.41,0.52,0.61,0.49,0.46,0.45,0.48
exist.csv,0.36,0.39,0.47,0.47,0.38,0.37,0.37,0.43,0.45,0.42,0.32,0.38,0.42,0.33,0.45,0.34
icescrum.csv,0.5,0.5,0.69,0.54,0.65,0.45,0.42,0.45,0.44,0.84,0.56,0.57,0.56,0.39,0.48,0.46
jbasic.csv,0.39,0.43,0.57,0.45,0.47,0.4,0.48,0.5,0.43,0.36,0.88,0.35,0.51,0.36,0.47,0.37
jrefactory.csv,0.43,0.51,0.54,0.61,0.71,0.68,0.41,0.62,0.54,0.95,0.38,0.71,0.78,0.34,0.49,0.56
jsecurity.csv,0.97,0.53,0.53,0.92,0.43,0.74,0.76,0.89,0.77,0.47,0.88,0.85,0.97,0.92,0.86,0.8
libopenmetaverse.csv,0.33,0.38,0.46,0.47,0.52,0.37,0.4,0.43,0.48,0.52,0.35,0.36,0.41,0.33,0.44,0.31
mobicents.csv,0.4,0.42,0.6,0.51,0.37,0.46,0.42,0.42,0.54,0.35,0.52,0.37,0.39,0.35,0.46,0.39
opendvr.csv,0.54,0.54,0.62,0.6,0.35,0.45,0.93,0.58,0.64,0.42,0.65,0.34,0.41,0.89,0.85,0.5
power-architect.csv,0.43,0.42,0.45,0.48,0.36,0.4,0.38,0.63,0.53,0.37,0.35,0.43,0.43,0.43,0.44,0.31
sidekar.csv,0.0,0.0,0.0,0.48,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0
wheat.csv,0.84,0.95,0.97,0.92,0.57,0.69,0.36,0.92,0.74,0.37,0.52,0.7,0.75,0.89,0.47,0.52
wsmt.csv,0.98,0.86,0.95,0.86,0.5,0.99,0.0,0.96,0.91,0.95,0.5,0.92,0.99,0.71,0.75,0.86
