,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,exist.csv,wheat.csv,power-architect.csv,bigdata.csv,wsmt.csv,opendvr.csv,icescrum.csv
apertium.csv,0.5,0.28,0.45,0.63,0.53,0.49,0.06,0.7,0.82,0.31,0.21,0.49,0.52,0.43,0.0,0.53
beast-mcmc.csv,0.73,0.47,0.67,0.61,0.53,0.63,0.49,0.62,0.55,0.27,0.65,0.27,0.6,0.4,0.54,0.55
bigdata.csv,0.4,0.39,0.42,0.6,0.62,0.25,0.0,0.26,0.05,0.46,0.17,0.26,0.67,0.35,0.31,0.29
cuberok.csv,0.55,0.33,0.45,0.43,0.57,0.43,0.69,0.41,0.43,0.56,0.44,0.43,0.6,0.77,0.17,0.55
exist.csv,0.52,0.38,0.17,0.61,0.54,0.05,0.56,0.0,0.29,0.76,0.51,0.54,0.53,0.13,0.0,0.41
icescrum.csv,0.72,0.41,0.42,0.64,0.32,0.6,0.52,0.73,0.55,0.27,0.54,0.37,0.41,0.22,0.31,0.92
jbasic.csv,0.62,0.4,0.56,0.68,0.53,0.55,0.57,0.75,0.27,0.27,0.13,0.0,0.46,0.35,0.32,0.51
jrefactory.csv,0.4,0.72,0.46,0.39,0.17,0.39,0.5,0.42,0.45,0.15,0.5,0.24,0.28,0.35,0.49,0.42
jsecurity.csv,0.28,0.34,0.65,0.17,0.51,0.34,0.26,0.1,0.19,0.64,0.21,0.26,0.17,0.13,0.21,0.13
libopenmetaverse.csv,0.05,0.13,0.0,0.3,0.55,0.05,0.44,0.0,0.64,0.4,0.3,0.26,0.13,0.13,0.31,0.0
mobicents.csv,0.72,0.45,0.5,0.6,0.3,0.67,0.43,0.55,0.6,0.56,0.64,0.55,0.61,0.54,0.33,0.63
opendvr.csv,0.65,0.39,0.48,0.51,0.0,0.6,0.36,0.47,0.44,0.71,0.54,0.44,0.53,0.13,0.66,0.56
power-architect.csv,0.59,0.46,0.68,0.58,0.24,0.47,0.13,0.38,0.53,0.27,0.17,0.82,0.6,0.68,0.0,0.0
sidekar.csv,0.0,0.0,0.0,0.82,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wheat.csv,0.4,0.14,0.25,0.15,0.43,0.41,0.48,0.16,0.4,0.45,0.65,0.46,0.39,0.13,0.5,0.62
wsmt.csv,0.3,0.05,0.06,0.11,0.07,0.21,0.0,0.28,0.1,0.07,0.0,0.18,0.24,0.74,0.0,0.13
