,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,exist.csv,wheat.csv,power-architect.csv,bigdata.csv,wsmt.csv,opendvr.csv,icescrum.csv
apertium.csv,0.79,0.18,0.27,0.5,0.69,0.4,0.0,0.32,0.26,0.11,0.21,0.79,0.54,0.7,0.0,0.47
beast-mcmc.csv,0.26,0.79,0.51,0.63,0.77,0.54,0.77,0.41,0.72,0.93,0.62,0.93,0.73,0.7,0.66,0.78
bigdata.csv,0.12,0.21,0.3,0.34,0.43,0.2,1.0,0.14,0.05,0.38,0.96,0.07,0.59,0.23,0.28,0.41
cuberok.csv,0.28,0.29,0.57,0.47,0.6,0.56,0.29,0.33,0.4,0.75,0.54,0.57,0.57,0.5,0.96,0.34
exist.csv,0.82,0.89,0.96,0.74,0.74,0.99,0.77,1.0,0.91,0.25,0.79,0.71,0.32,0.97,1.0,0.88
icescrum.csv,0.33,0.34,0.25,0.24,0.2,0.44,0.37,0.41,0.47,0.13,0.17,0.21,0.24,0.93,0.28,0.19
jbasic.csv,0.69,0.84,0.54,0.68,0.71,0.77,0.51,0.39,0.93,0.93,0.21,1.0,0.22,0.8,0.91,0.81
jrefactory.csv,0.81,0.42,0.8,0.66,0.26,0.46,0.63,0.73,0.74,0.09,0.67,0.21,0.27,0.9,0.53,0.59
jsecurity.csv,0.09,0.47,0.2,0.08,0.69,0.24,0.34,0.06,0.31,0.56,0.12,0.07,0.08,0.27,0.34,0.09
libopenmetaverse.csv,0.99,0.97,1.0,0.92,0.34,0.99,0.8,1.0,0.69,0.47,0.92,0.93,0.97,0.97,0.36,1.0
mobicents.csv,0.53,0.53,0.2,0.13,0.91,0.32,0.86,0.8,0.38,0.79,0.54,0.64,0.46,0.8,0.91,0.69
opendvr.csv,0.28,0.47,0.18,0.29,1.0,0.35,0.23,0.24,0.26,0.54,0.25,0.86,0.7,0.17,0.25,0.25
power-architect.csv,0.66,0.84,0.67,0.71,0.94,0.82,0.97,0.45,0.72,0.93,0.96,0.14,0.68,0.63,1.0,1.0
sidekar.csv,0.0,0.0,0.0,0.24,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
wheat.csv,0.19,0.34,0.13,0.11,0.6,0.26,0.34,0.06,0.24,0.85,0.29,0.07,0.32,0.17,0.51,0.41
wsmt.csv,0.2,0.13,0.1,0.03,0.0,0.22,0.0,0.14,0.16,0.15,0.08,0.29,0.27,0.1,0.08,0.16
