,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jgnash.csv,jbasic.csv,apertium.csv,yarp0.csv,exist.csv,mp-rechnungs-und-kundenverwaltung.csv,wheat.csv,ingex.csv,power-architect.csv,javaprofiler.csv
apertium.csv,0.51,0.24,0.41,0.15,0.41,0.36,0.39,0.09,0.29,0.75,0.69,0.1,0.31,0.48,0.47,0.24,0.52,0.16
beast-mcmc.csv,0.61,0.51,0.6,0.41,0.62,0.56,0.64,0.47,0.29,0.62,0.34,0.41,0.73,0.48,0.61,0.55,0.7,0.71
cuberok.csv,0.48,0.49,0.32,0.29,0.45,0.6,0.5,0.62,0.4,0.38,0.36,0.3,0.67,0.31,0.44,0.25,0.54,0.35
exist.csv,0.46,0.48,0.63,0.41,0.59,0.61,0.67,0.56,0.31,0.6,0.31,0.49,0.79,0.48,0.66,0.54,0.64,0.7
ingex.csv,0.45,0.35,0.33,0.24,0.59,0.44,0.61,0.26,0.29,0.65,0.36,0.42,0.46,0.44,0.59,0.58,0.52,0.56
javaprofiler.csv,0.44,0.51,0.47,0.31,0.67,0.64,0.6,0.49,0.26,0.58,0.48,0.44,0.7,0.4,0.62,0.32,0.61,0.82
jbasic.csv,0.46,0.47,0.49,0.29,0.78,0.6,0.65,0.55,0.29,0.72,0.47,0.37,0.73,0.48,0.17,0.53,0.85,0.59
jgnash.csv,0.34,0.51,0.35,0.43,0.68,0.39,0.52,0.43,0.46,0.34,0.26,0.44,0.47,0.31,0.68,0.51,0.22,0.33
jrefactory.csv,0.31,0.33,0.71,0.27,0.48,0.29,0.42,0.47,0.18,0.39,0.4,0.49,0.17,0.46,0.6,0.46,0.35,0.75
jsecurity.csv,0.35,0.57,0.41,0.52,0.26,0.51,0.46,0.31,0.24,0.26,0.16,0.23,0.65,0.35,0.28,0.38,0.38,0.43
libopenmetaverse.csv,0.42,0.5,0.73,0.32,0.79,0.63,0.68,0.49,0.26,0.66,0.52,0.48,0.55,0.46,0.7,0.53,0.81,0.81
mobicents.csv,0.53,0.51,0.55,0.41,0.67,0.52,0.68,0.58,0.34,0.73,0.52,0.44,0.74,0.52,0.57,0.54,0.71,0.53
mp-rechnungs-und-kundenverwaltung.csv,0.4,0.43,0.53,0.28,0.62,0.23,0.55,0.46,0.2,0.66,0.57,0.38,0.22,0.48,0.13,0.57,0.42,0.81
openefm.csv,0.43,0.6,0.48,0.31,0.43,0.61,0.64,0.43,0.29,0.36,0.51,0.21,0.61,0.44,0.66,0.41,0.5,0.54
power-architect.csv,0.46,0.5,0.65,0.36,0.68,0.64,0.6,0.56,0.25,0.38,0.42,0.46,0.71,0.5,0.71,0.52,0.88,0.75
sidekar.csv,0.0,0.31,0.0,0.0,0.84,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49
wheat.csv,0.39,0.43,0.26,0.31,0.42,0.36,0.51,0.49,0.27,0.39,0.5,0.44,0.71,0.44,0.71,0.53,0.7,0.37
yarp0.csv,0.37,0.43,0.53,0.33,0.67,0.6,0.58,0.43,0.32,0.61,0.63,0.55,0.62,0.5,0.57,0.52,0.66,0.56
