,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv,wxcode.csv,olex2.csv
adobe-source.csv,0.51,0.24,0.38,1.0,0.65,0.19,0.61,0.82,0.18,0.5,0.27,0.7
aubit4gl.csv,0.62,0.4,0.3,0.0,0.69,0.12,0.75,1.0,0.53,0.8,0.38,0.56
liferea.csv,0.34,0.07,0.22,0.43,0.43,0.22,0.6,0.78,0.41,0.15,0.14,0.5
moving-pictures.csv,0.43,0.11,0.2,0.29,0.5,0.2,0.7,1.0,0.92,0.39,0.22,0.49
olex2.csv,0.47,0.1,0.21,0.41,0.58,0.16,0.43,0.78,0.15,0.28,0.24,0.69
opensim4opencog.csv,0.39,0.06,0.23,0.38,0.55,0.25,0.57,0.83,0.45,0.25,0.2,0.59
plearn.csv,0.45,0.1,0.18,1.0,0.12,0.11,0.41,0.78,0.2,0.15,0.15,0.57
psrchive.csv,0.36,0.45,0.44,0.24,0.59,0.12,0.52,0.69,0.32,0.28,0.22,0.59
re2c.csv,0.37,0.86,0.19,0.22,0.61,0.09,0.5,0.74,0.39,0.1,0.0,0.45
rebecca-aiml.csv,0.32,0.16,0.19,0.24,0.57,0.13,0.49,0.78,0.7,0.23,0.08,0.47
wxcode.csv,0.42,0.17,0.26,0.32,0.54,0.21,0.5,0.85,0.19,0.33,0.35,0.75
xfce.csv,0.36,0.07,0.21,0.35,0.44,0.13,0.48,0.8,0.33,0.22,0.05,0.5
